t,E_sto,P_sto,P_load_sp,P_shed,P_load,P_sun,P_curt,P_pv,P_grid,c_grid
0.0,4.0,-0.52,0.52,0.0,0.52,0.0,0.0,0.0,0.0,0.1
0.5,3.74,-0.528,0.528,0.0,0.528,0.0,0.0,0.0,0.0,0.1
1.0,3.476,-0.496,0.496,0.0,0.496,0.0,0.0,0.0,0.0,0.1
1.5,3.2279999999999998,-0.524,0.524,0.0,0.524,0.0,0.0,0.0,0.0,0.1
2.0,2.9659999999999997,-0.418,0.418,0.0,0.418,0.0,0.0,0.0,0.0,0.1
2.5,2.7569999999999997,-0.402,0.402,0.0,0.402,0.0,0.0,0.0,0.0,0.1
3.0,2.5559999999999996,-0.434,0.434,0.0,0.434,0.0,0.0,0.0,0.0,0.1
3.5,2.3389999999999995,-0.41200000000000003,0.41200000000000003,0.0,0.41200000000000003,0.0,0.0,0.0,0.0,0.1
4.0,2.1329999999999996,-0.508,0.508,0.0,0.508,0.0,0.0,0.0,0.0,0.1
4.5,1.8789999999999996,-0.516,0.516,0.0,0.516,0.0,0.0,0.0,0.0,0.1
5.0,1.6209999999999996,-0.462,0.462,0.0,0.462,0.0,0.0,0.0,0.0,0.1
5.5,1.3899999999999995,-0.49,0.49,0.0,0.49,0.0,0.0,0.0,0.0,0.1
6.0,1.1449999999999996,-0.5379999999999998,0.5379999999999999,0.0,0.5379999999999999,0.046153846153846156,0.046153846153846045,1.1102230246251565e-16,0.0,0.2
6.5,0.8759999999999997,-1.02,1.02,0.0,1.02,0.1,0.09999999999999998,2.7755575615628914e-17,0.0,0.2
7.0,0.36599999999999966,-0.498,0.498,0.0,0.498,0.19230769230769232,0.1923076923076923,2.7755575615628914e-17,0.0,0.2
7.5,0.11699999999999966,-0.1656923076923077,0.45799999999999996,0.0,0.45799999999999996,0.29230769230769227,0.0,0.29230769230769227,0.0,0.2
8.0,0.03415384615384581,-0.06830769230769163,0.37200000000000005,0.0,0.37200000000000005,0.6230769230769231,0.31938461538461466,0.3036923076923084,0.0,0.2
8.5,0.0,-0.0,0.35600000000000004,0.0,0.35600000000000004,1.0076923076923077,0.6516923076923076,0.3560000000000001,0.0,0.2
9.0,0.0,-0.0,0.33399999999999996,0.0,0.33399999999999996,1.346153846153846,1.0121538461538462,0.33399999999999985,0.0,0.2
9.5,0.0,1.311692307692309,0.354,0.0,0.354,1.776923076923077,0.11123076923076813,1.665692307692309,0.0,0.2
10.0,0.6558461538461545,1.751538461538462,0.41,0.0,0.41,2.161538461538462,0.0,2.161538461538462,0.0,0.2
10.5,1.5316153846153855,1.6010769230769228,0.42200000000000004,0.0,0.42200000000000004,2.023076923076923,0.0,2.023076923076923,0.0,0.2
11.0,2.332153846153847,1.4473846153846157,0.768,0.0,0.768,2.2153846153846155,0.0,2.2153846153846155,0.0,0.2
11.5,3.0558461538461548,1.4078461538461537,0.946,0.0,0.946,2.353846153846154,0.0,2.353846153846154,0.0,0.2
12.0,3.7597692307692316,1.642153846153846,0.904,0.0,0.904,2.546153846153846,0.0,2.546153846153846,0.0,0.2
12.5,4.580846153846155,2.1447692307692297,0.8859999999999999,0.0,0.8859999999999999,3.03076923076923,0.0,3.03076923076923,0.0,0.2
13.0,5.6532307692307695,1.469846153846154,0.884,0.0,0.884,2.353846153846154,0.0,2.353846153846154,0.0,0.2
13.5,6.3881538461538465,1.4776923076923065,0.83,0.0,0.83,2.3076923076923075,0.0,2.3076923076923075,0.0,0.2
14.0,7.127,1.101230769230769,0.968,0.0,0.968,2.069230769230769,0.0,2.069230769230769,0.0,0.2
14.5,7.677615384615384,0.22369230769230697,0.884,0.0,0.884,1.1076923076923078,0.0,1.1076923076923078,0.0,0.2
15.0,7.789461538461538,0.17723076923076952,0.6920000000000001,0.0,0.6920000000000001,0.8692307692307693,0.0,0.8692307692307693,0.0,0.2
15.5,7.8780769230769225,-0.028769230769229992,0.7979999999999999,0.0,0.7979999999999999,0.7692307692307693,0.0,0.7692307692307693,0.0,0.2
16.0,7.8636923076923075,-0.1907692307692308,0.96,0.0,0.96,0.7692307692307693,0.0,0.7692307692307693,0.0,0.2
16.5,7.768307692307692,0.02323076923076961,0.846,0.0,0.846,0.8692307692307693,0.0,0.8692307692307693,0.0,0.2
17.0,7.779923076923077,0.4401538461538461,1.006,0.0,1.006,1.4461538461538461,0.0,1.4461538461538461,0.0,0.2
17.5,8.0,-0.21876923076923127,1.088,0.0,1.088,0.8692307692307693,0.0,0.8692307692307693,0.0,0.2
18.0,7.890615384615384,-1.129538461538461,1.4680000000000002,0.0,1.4680000000000002,0.3384615384615385,0.0,0.3384615384615385,0.0,0.2
18.5,7.325846153846154,-1.2018461538461533,1.348,0.0,1.348,0.14615384615384613,0.0,0.14615384615384613,0.0,0.2
19.0,6.724923076923077,-1.1778461538461542,1.224,0.0,1.224,0.046153846153846156,0.0,0.046153846153846156,0.0,0.2
