t,E_sto,P_sto,P_load_sp,P_shed,P_load,P_sun,P_curt,P_pv,P_grid,c_grid
0.0,4.0,-0.52,0.52,0.0,0.52,0.0,0.0,0.0,0.0,0.1
0.5,3.74,-0.528,0.528,0.0,0.528,0.0,0.0,0.0,0.0,0.1
1.0,3.476,-0.496,0.496,0.0,0.496,0.0,0.0,0.0,0.0,0.1
1.5,3.2279999999999998,-0.524,0.524,0.0,0.524,0.0,0.0,0.0,0.0,0.1
2.0,2.9659999999999997,-0.418,0.418,0.0,0.418,0.0,0.0,0.0,0.0,0.1
2.5,2.7569999999999997,-0.402,0.402,0.0,0.402,0.0,0.0,0.0,0.0,0.1
3.0,2.5559999999999996,-0.434,0.434,0.0,0.434,0.0,0.0,0.0,0.0,0.1
3.5,2.3389999999999995,-0.41200000000000003,0.41200000000000003,0.0,0.41200000000000003,0.0,0.0,0.0,0.0,0.1
4.0,2.1329999999999996,-0.508,0.508,0.0,0.508,0.0,0.0,0.0,0.0,0.1
4.5,1.8789999999999996,-0.516,0.516,0.0,0.516,0.0,0.0,0.0,0.0,0.1
5.0,1.6209999999999996,-0.462,0.462,0.0,0.462,0.0,0.0,0.0,0.0,0.1
5.5,1.3899999999999995,-0.49,0.49,0.0,0.49,0.0,0.0,0.0,0.0,0.1
6.0,1.1449999999999996,-0.49184615384615377,0.5379999999999999,0.0,0.5379999999999999,0.046153846153846156,0.0,0.046153846153846156,0.0,0.2
6.5,0.8990769230769227,-0.9199999999999999,1.02,0.0,1.02,0.1,0.0,0.1,0.0,0.2
7.0,0.4390769230769227,-0.30569230769230765,0.498,0.0,0.498,0.19230769230769232,0.0,0.19230769230769232,0.0,0.2
7.5,0.28623076923076884,-0.1656923076923077,0.45799999999999996,0.0,0.45799999999999996,0.29230769230769227,0.0,0.29230769230769227,0.0,0.2
8.0,0.203384615384615,0.25107692307692303,0.37200000000000005,0.0,0.37200000000000005,0.6230769230769231,0.0,0.6230769230769231,0.0,0.2
8.5,0.32892307692307654,0.6516923076923076,0.35600000000000004,0.0,0.35600000000000004,1.0076923076923077,0.0,1.0076923076923077,0.0,0.2
9.0,0.6547692307692303,1.012153846153846,0.33399999999999996,0.0,0.33399999999999996,1.346153846153846,0.0,1.346153846153846,0.0,0.2
9.5,1.1608461538461534,1.4229230769230774,0.354,0.0,0.354,1.776923076923077,0.0,1.776923076923077,0.0,0.2
10.0,1.8723076923076922,1.751538461538462,0.41,0.0,0.41,2.161538461538462,0.0,2.161538461538462,0.0,0.2
10.5,2.748076923076923,1.601076923076923,0.42200000000000004,0.0,0.42200000000000004,2.023076923076923,0.0,2.023076923076923,0.0,0.2
11.0,3.5486153846153847,1.4473846153846153,0.768,0.0,0.768,2.2153846153846155,0.0,2.2153846153846155,0.0,0.2
11.5,4.272307692307693,1.4078461538461542,0.946,0.0,0.946,2.353846153846154,0.0,2.353846153846154,0.0,0.2
12.0,4.97623076923077,1.6421538461538463,0.904,0.0,0.904,2.546153846153846,0.0,2.546153846153846,0.0,0.2
12.5,5.797307692307693,2.144769230769231,0.8859999999999999,0.0,0.8859999999999999,3.03076923076923,0.0,3.03076923076923,0.0,0.2
13.0,6.869692307692309,1.469846153846154,0.884,0.0,0.884,2.353846153846154,0.0,2.353846153846154,0.0,0.2
13.5,7.604615384615386,0.7907692307692287,0.83,0.0,0.83,2.3076923076923075,0.6869230769230789,1.6207692307692287,0.0,0.2
14.0,8.0,0.0,0.968,0.0,0.968,2.069230769230769,1.1012307692307692,0.9679999999999997,0.0,0.2
14.5,8.0,0.0,0.884,0.0,0.884,1.1076923076923078,0.22369230769230775,0.884,0.0,0.2
15.0,8.0,0.0,0.6920000000000001,0.0,0.6920000000000001,0.8692307692307693,0.17723076923076922,0.6920000000000001,0.0,0.2
15.5,8.0,-0.028769230769230655,0.7979999999999999,0.0,0.7979999999999999,0.7692307692307693,0.0,0.7692307692307693,0.0,0.2
16.0,7.985615384615385,-0.19076923076923066,0.96,0.0,0.96,0.7692307692307693,0.0,0.7692307692307693,0.0,0.2
16.5,7.89023076923077,0.023230769230769277,0.846,0.0,0.846,0.8692307692307693,0.0,0.8692307692307693,0.0,0.2
17.0,7.901846153846154,0.19630769230768755,1.006,0.0,1.006,1.4461538461538461,0.24384615384615854,1.2023076923076876,0.0,0.2
17.5,7.999999999999998,-0.2187692307692308,1.088,0.0,1.088,0.8692307692307693,0.0,0.8692307692307693,0.0,0.2
18.0,7.890615384615383,-1.1295384615384618,1.4680000000000002,0.0,1.4680000000000002,0.3384615384615385,0.0,0.3384615384615385,0.0,0.2
18.5,7.325846153846152,-1.201846153846154,1.348,0.0,1.348,0.14615384615384613,0.0,0.14615384615384613,0.0,0.2
19.0,6.7249230769230754,-1.1778461538461538,1.224,0.0,1.224,0.046153846153846156,0.0,0.046153846153846156,0.0,0.2
19.5,6.135999999999998,-1.166,1.166,0.0,1.166,0.0,0.0,0.0,0.0,0.2
