,E_sto,P_sto,P_load_sp,P_shed,P_load,P_sun,P_curt,P_pv,P_grid,c_grid
0,4,-0.52,0.52,0,0.52,0,0,0,0,0.1
0.5,3.74,-0.528,0.528,0,0.528,0,0,0,0,0.1
1,3.476,-0.496,0.496,0,0.496,0,0,0,0,0.1
1.5,3.2279999999999998,-0.524,0.524,0,0.524,0,0,0,0,0.1
2,2.9659999999999997,-0.418,0.418,0,0.418,0,0,0,0,0.1
2.5,2.7569999999999997,-0.402,0.402,0,0.402,0,0,0,0,0.1
3,2.5559999999999996,-0.434,0.434,0,0.434,0,0,0,0,0.1
3.5,2.3389999999999995,-0.41200000000000003,0.41200000000000003,0,0.41200000000000003,0,0,0,0,0.1
4,2.1329999999999996,-0.508,0.508,0,0.508,0,0,0,0,0.1
4.5,1.8789999999999996,-0.516,0.516,0,0.516,0,0,0,0,0.1
5,1.6209999999999996,-0.462,0.462,0,0.462,0,0,0,0,0.1
5.5,1.3899999999999995,-0.49,0.49,0,0.49,0,0,0,0,0.1
6,1.1449999999999996,-0.5379999999999998,0.5379999999999999,0,0.5379999999999999,0.046153846153846156,0.046153846153846045,11102230246251565e-32,0,0.2
6.5,0.8759999999999997,-1.02,1.02,0,1.02,0.1,0.09999999999999998,27755575615628914e-33,0,0.2
7,0.36599999999999966,-0.498,0.498,0,0.498,0.19230769230769232,0.1923076923076923,27755575615628914e-33,0,0.2
7.5,0.11699999999999966,-0.1656923076923077,0.45799999999999996,0,0.45799999999999996,0.29230769230769227,0,0.29230769230769227,0,0.2
8,0.03415384615384581,-0.06830769230769163,0.37200000000000005,0,0.37200000000000005,0.6230769230769231,0.31938461538461466,0.3036923076923084,0,0.2
8.5,0,0,0.35600000000000004,0,0.35600000000000004,1.0076923076923077,0.6516923076923076,0.3560000000000001,0,0.2
9,0,0,0.33399999999999996,0,0.33399999999999996,1.346153846153846,1.0121538461538462,0.33399999999999985,0,0.2
9.5,0,1.311692307692309,0.354,0,0.354,1.776923076923077,0.11123076923076813,1.665692307692309,0,0.2
10,0.6558461538461545,1.751538461538462,0.41,0,0.41,2.161538461538462,0,2.161538461538462,0,0.2
10.5,1.5316153846153855,1.6010769230769228,0.42200000000000004,0,0.42200000000000004,2.023076923076923,0,2.023076923076923,0,0.2
11,2.332153846153847,1.4473846153846157,0.768,0,0.768,2.2153846153846155,0,2.2153846153846155,0,0.2
11.5,3.0558461538461548,1.4078461538461537,0.946,0,0.946,2.353846153846154,0,2.353846153846154,0,0.2
12,3.7597692307692316,1.642153846153846,0.904,0,0.904,2.546153846153846,0,2.546153846153846,0,0.2
12.5,4.580846153846155,2.1447692307692297,0.8859999999999999,0,0.8859999999999999,3.03076923076923,0,3.03076923076923,0,0.2
13,5.6532307692307695,1.469846153846154,0.884,0,0.884,2.353846153846154,0,2.353846153846154,0,0.2
13.5,6.3881538461538465,1.4776923076923065,0.83,0,0.83,2.3076923076923075,0,2.3076923076923075,0,0.2
14,7.127,1.101230769230769,0.968,0,0.968,2.069230769230769,0,2.069230769230769,0,0.2
14.5,7.677615384615384,0.22369230769230697,0.884,0,0.884,1.1076923076923078,0,1.1076923076923078,0,0.2
15,7.789461538461538,0.17723076923076952,0.6920000000000001,0,0.6920000000000001,0.8692307692307693,0,0.8692307692307693,0,0.2
15.5,7.8780769230769225,-0.028769230769229992,0.7979999999999999,0,0.7979999999999999,0.7692307692307693,0,0.7692307692307693,0,0.2
16,7.8636923076923075,-0.1907692307692308,0.96,0,0.96,0.7692307692307693,0,0.7692307692307693,0,0.2
16.5,7.768307692307692,0.02323076923076961,0.846,0,0.846,0.8692307692307693,0,0.8692307692307693,0,0.2
17,7.779923076923077,0.4401538461538461,1.006,0,1.006,1.4461538461538461,0,1.4461538461538461,0,0.2
17.5,8,-0.21876923076923127,1.088,0,1.088,0.8692307692307693,0,0.8692307692307693,0,0.2
18,7.890615384615384,-1.129538461538461,1.4680000000000002,0,1.4680000000000002,0.3384615384615385,0,0.3384615384615385,0,0.2
18.5,7.325846153846154,-1.2018461538461533,1.348,0,1.348,0.14615384615384613,0,0.14615384615384613,0,0.2
19,6.724923076923077,-1.1778461538461542,1.224,0,1.224,0.046153846153846156,0,0.046153846153846156,0,0.2
19.5,6.136,-1.166,1.166,0,1.166,0,0,0,0,0.2
20,5.553,-1.224,1.224,0,1.224,0,0,0,0,0.2
20.5,4.941,-1.1179999999999999,1.1179999999999999,0,1.1179999999999999,0,0,0,0,0.2
21,4.382,-1.306,1.306,0,1.306,0,0,0,0,0.2
21.5,3.7289999999999996,-1.256,1.256,0,1.256,0,0,0,0,0.2
22,3.1009999999999995,-1.0759999999999998,1.0759999999999998,0,1.0759999999999998,0,0,0,0,0.2
22.5,2.5629999999999997,-0.9259999999999999,0.9259999999999999,0,0.9259999999999999,0,0,0,0,0.2
23,2.0999999999999996,-0.688,0.688,0,0.688,0,0,0,0,0.2
23.5,1.7559999999999998,-0.5579999999999999,0.5579999999999999,0,0.5579999999999999,0,0,0,0,0.2
24,1.4769999999999999,2.5060000000000002,0.494,0,0.494,0,0,0,3,0.1
24.5,2.73,2.518,0.48200000000000004,0,0.48200000000000004,0,0,0,3,0.1
25,3.989,2.602,0.39799999999999996,0,0.39799999999999996,0,0,0,3,0.1
25.5,5.29,2.3346153846153883,0.406,0,0.406,0,0,0,2.7406153846153885,0.1
26,6.457307692307694,-0.428,0.428,0,0.428,0,0,0,0,0.1
26.5,6.243307692307694,-0.45399999999999996,0.45399999999999996,0,0.45399999999999996,0,0,0,0,0.1
27,6.016307692307693,-0.444,0.444,0,0.444,0,0,0,0,0.1
27.5,5.794307692307693,-0.396,0.396,0,0.396,0,0,0,0,0.1
28,5.596307692307692,-0.392,0.392,0,0.392,0,0,0,0,0.1
28.5,5.400307692307693,-0.442,0.442,0,0.442,0,0,0,0,0.1
29,5.179307692307693,-0.444,0.444,0,0.444,0,0,0,0,0.1
29.5,4.957307692307692,-0.4298461538461531,0.47600000000000003,0,0.47600000000000003,0.046153846153846156,0,0.046153846153846156,0,0.1
30,4.742384615384616,-1.2278461538461531,1.274,0,1.274,0.046153846153846156,0,0.046153846153846156,0,0.2
30.5,4.128461538461539,-0.5078461538461534,0.654,0,0.654,0.14615384615384613,0,0.14615384615384613,0,0.2
31,3.8745384615384624,-0.32969230769230773,0.622,0,0.622,0.29230769230769227,0,0.29230769230769227,0,0.2
31.5,3.7096923076923085,-0.18969230769230805,0.48200000000000004,0,0.48200000000000004,0.29230769230769227,0,0.29230769230769227,0,0.2
32,3.6148461538461545,-0.10953846153846136,0.348,0,0.348,0.23846153846153845,0,0.23846153846153845,0,0.2
32.5,3.560076923076924,0.002615384615384464,0.48200000000000004,0,0.48200000000000004,0.4846153846153846,0,0.4846153846153846,0,0.2
33,3.561384615384616,0.23323076923076957,0.536,0,0.536,0.7692307692307693,0,0.7692307692307693,0,0.2
33.5,3.678000000000001,0.8863076923076925,0.606,0,0.606,1.4923076923076921,0,1.4923076923076921,0,0.2
34,4.121153846153847,1.1766153846153848,0.508,0,0.508,1.6846153846153844,0,1.6846153846153844,0,0.2
34.5,4.7094615384615395,1.6292307692307695,0.44,0,0.44,2.069230769230769,0,2.069230769230769,0,0.2
35,5.524076923076924,1.8253846153846158,0.39,0,0.39,2.2153846153846155,0,2.2153846153846155,0,0.2
35.5,6.436769230769232,0.9266153846153848,0.6579999999999999,0,0.6579999999999999,1.5846153846153848,0,1.5846153846153848,0,0.2
36,6.9000769230769246,-0.11261538461538478,0.9279999999999999,0,0.9279999999999999,0.8153846153846154,0,0.8153846153846154,0,0.2
36.5,6.843769230769232,-0.2790769230769232,0.956,0,0.956,0.676923076923077,0,0.676923076923077,0,0.2
37,6.7042307692307705,-0.018615384615385366,0.8340000000000001,0,0.8340000000000001,0.8153846153846154,0,0.8153846153846154,0,0.2
37.5,6.694923076923078,0.17153846153846075,0.89,0,0.89,1.0615384615384615,0,1.0615384615384615,0,0.2
38,6.780692307692308,0.21553846153846123,0.846,0,0.846,1.0615384615384615,0,1.0615384615384615,0,0.2
38.5,6.888461538461539,0.04138461538461513,0.8740000000000001,0,0.8740000000000001,0.9153846153846155,0,0.9153846153846155,0,0.2
39,6.909153846153846,0.7423076923076923,0.65,0,0.65,1.3923076923076925,0,1.3923076923076925,0,0.2
39.5,7.280307692307693,1.3733846153846159,0.8420000000000001,0,0.8420000000000001,2.2153846153846155,0,2.2153846153846155,0,0.2
40,7.9670000000000005,0.06599999999999895,1.1340000000000001,0,1.1340000000000001,1.2,0,1.2,0,0.2
40.5,8,-0.5076923076923077,0.8,0,0.8,0.29230769230769227,0,0.29230769230769227,0,0.2
41,7.746153846153846,-0.7515384615384608,0.99,0,0.99,0.23846153846153845,0,0.23846153846153845,0,0.2
41.5,7.370384615384616,-1.237692307692308,1.43,0,1.43,0.19230769230769232,0,0.19230769230769232,0,0.2
42,6.751538461538462,-1.0718461538461543,1.218,0,1.218,0.14615384615384613,0,0.14615384615384613,0,0.2
42.5,6.2156153846153845,-1.179846153846153,1.226,0,1.226,0.046153846153846156,0,0.046153846153846156,0,0.2
43,5.625692307692308,-1.1079999999999999,1.1079999999999999,0,1.1079999999999999,0,0,0,0,0.2
43.5,5.071692307692308,-1.188,1.188,0,1.188,0,0,0,0,0.2
44,4.477692307692307,-1.22,1.22,0,1.22,0,0,0,0,0.2
44.5,3.8676923076923075,-1.242,1.242,0,1.242,0,0,0,0,0.2
45,3.2466923076923075,-1.044,1.044,0,1.044,0,0,0,0,0.2
45.5,2.7246923076923073,-0.892,0.892,0,0.892,0,0,0,0,0.2
46,2.278692307692307,-1.078,1.078,0,1.078,0,0,0,0,0.2
46.5,1.739692307692307,-0.8420000000000001,0.8420000000000001,0,0.8420000000000001,0,0,0,0,0.2
47,1.318692307692307,-0.456,0.456,0,0.456,0,0,0,0,0.2
47.5,1.090692307692307,-0.508,0.508,0,0.508,0,0,0,0,0.2
48,0.836692307692307,2.6801538461538463,0.366,0,0.366,0.046153846153846156,0,0.046153846153846156,3,0.1
48.5,2.17676923076923,1.8275384615384638,0.414,0,0.414,0,0,0,2.2415384615384637,0.1
49,3.090538461538462,-0.496,0.496,0,0.496,0,0,0,0,0.1
49.5,2.842538461538462,-0.5,0.5,0,0.5,0,0,0,0,0.1
50,2.592538461538462,-0.5920000000000001,0.5920000000000001,0,0.5920000000000001,0,0,0,0,0.1
50.5,2.2965384615384616,-0.46,0.46,0,0.46,0,0,0,0,0.1
51,2.0665384615384617,-0.514,0.514,0,0.514,0,0,0,0,0.1
51.5,1.8095384615384618,-0.466,0.466,0,0.466,0,0,0,0,0.1
52,1.5765384615384617,-0.46799999999999997,0.46799999999999997,0,0.46799999999999997,0,0,0,0,0.1
