,E_sto,P_sto,P_load_sp,P_shed,P_load,P_sun,P_curt,P_pv,P_grid,c_grid
0,4,-0.48915632754342425,0.52,0,0.52,0,0,0,0.030843672456575766,0.1
0.5,3.755421836228288,2.5509677419354837,0.528,0,0.528,0,0,0,3.0789677419354837,0.1
1,5.0309057071960295,0.18799503722084537,0.496,0,0.496,0,0,0,0.6839950372208454,0.1
1.5,5.124903225806452,-0.41961290322580647,0.524,0,0.524,0,0,0,0.10438709677419356,0.1
2,4.915096774193549,-0.41554838709677416,0.418,0,0.418,0,0,0,0.0024516129032258194,0.1
2.5,4.707322580645163,-0.3936674937965261,0.402,0,0.402,0,0,0,0.008332506203473922,0.1
3,4.5104888337469,-0.4093548387096775,0.434,0,0.434,0,0,0,0.024645161290322515,0.1
3.5,4.3058114143920605,-0.40283374689826346,0.41200000000000003,0,0.41200000000000003,0,0,0,0.009166253101736577,0.1
4,4.104394540942929,-0.3721935483870967,0.508,0,0.508,0,0,0,0.13580645161290333,0.1
4.5,3.9182977667493804,-0.4465161290322581,0.516,0,0.516,0,0,0,0.06948387096774189,0.1
5,3.6950397022332515,-0.4148933002481394,0.462,0,0.462,0,0,0,0.0471066997518606,0.1
5.5,3.487593052109182,-0.5105161290322581,0.49,0,0.49,0,0.02051612903225808,-0.02051612903225808,0,0.1
6,3.232334987593053,-0.750129032258064,0.5379999999999999,0,0.5379999999999999,0.046153846153846156,0.2582828784119103,-0.21212903225806412,0,0.2
6.5,2.857270471464021,-0.6028188585607941,1.02,0,1.02,0.1,0,0.1,0.31718114143920595,0.2
7,2.555861042183624,-0.4997667493796527,0.498,0,0.498,0.19230769230769232,0.194074441687345,-0.0017667493796526823,0,0.2
7.5,2.3059776674937975,-0.5050421836228285,0.45799999999999996,0,0.45799999999999996,0.29230769230769227,0.3393498759305208,-0.047042183622828526,0,0.2
8,2.0534565756823833,-0.2256377171215882,0.37200000000000005,0,0.37200000000000005,0.6230769230769231,0.47671464019851123,0.14636228287841185,0,0.2
8.5,1.9406377171215892,0.10862531017369736,0.35600000000000004,0,0.35600000000000004,1.0076923076923077,0.5430669975186102,0.46462531017369746,0,0.2
9,1.9949503722084378,0.30258560794044653,0.33399999999999996,0,0.33399999999999996,1.346153846153846,0.7095682382133996,0.6365856079404464,0,0.2
9.5,2.146243176178661,0.49919106699751836,0.354,0,0.354,1.776923076923077,0.9237320099255588,0.8531910669975182,0,0.2
10,2.3958387096774203,0.7265607940446648,0.41,0,0.41,2.161538461538462,1.0249776674937972,1.1365607940446647,0,0.2
10.5,2.7591191066997527,0.8095384615384615,0.42200000000000004,0,0.42200000000000004,2.023076923076923,0.7915384615384613,1.2315384615384617,0,0.2
11,3.1638883374689835,0.8325062034739457,0.768,0,0.768,2.2153846153846155,0.6148784119106698,1.6005062034739457,0,0.2
11.5,3.5801414392059563,0.9378312655086845,0.946,0,0.946,2.353846153846154,0.4700148883374695,1.8838312655086844,0,0.2
12,4.0490570719602985,1.0468933002481382,0.904,0,0.904,2.546153846153846,0.5952605459057079,1.9508933002481381,0,0.2
12.5,4.572503722084368,1.080009925558313,0.8859999999999999,0,0.8859999999999999,3.03076923076923,1.0647593052109174,1.9660099255583128,0,0.2
13,5.112508684863524,1.0182828784119113,0.884,0,0.884,2.353846153846154,0.4515632754342427,1.9022828784119112,0,0.2
13.5,5.62165012406948,1.13355334987593,0.83,0,0.83,2.3076923076923075,0.3441389578163774,1.96355334987593,0,0.2
14,6.188426799007445,1.0433449131513655,0.968,0,0.968,2.069230769230769,0.05788585607940355,2.0113449131513654,0,0.2
14.5,6.710099255583128,0.9480248138957812,0.884,0,0.884,1.1076923076923078,0,1.1076923076923078,0.7243325062034734,0.2
15,7.184111662531018,0.8912258064516116,0.6920000000000001,0,0.6920000000000001,0.8692307692307693,0,0.8692307692307693,0.7139950372208425,0.2
15.5,7.629724565756824,0.5241439205955327,0.7979999999999999,0,0.7979999999999999,0.7692307692307693,0,0.7692307692307693,0.5529131513647634,0.2
16,7.89179652605459,0.21640694789081927,0.96,0,0.96,0.7692307692307693,0,0.7692307692307693,0.40717617866004996,0.2
16.5,8,-0.000526054590570979,0.846,0,0.846,0.8692307692307693,0.023756823821340256,0.845473945409429,0,0.2
17,7.9997369727047145,-0.17064019851116718,1.006,0,1.006,1.4461538461538461,0.6107940446650133,0.8353598014888328,0,0.2
17.5,7.914416873449131,-0.34906203473945396,1.088,0,1.088,0.8692307692307693,0.13029280397022314,0.7389379652605461,0,0.2
18,7.739885856079404,-0.5707245657568247,1.4680000000000002,0,1.4680000000000002,0.3384615384615385,0,0.3384615384615385,0.5588138957816371,0.2
18.5,7.454523573200992,-0.8390322580645169,1.348,0,1.348,0.14615384615384613,0,0.14615384615384613,0.36281389578163714,0.2
19,7.035007444168733,-0.9914243176178665,1.224,0,1.224,0.046153846153846156,0,0.046153846153846156,0.18642183622828723,0.2
19.5,6.5392952853598,-1.011736972704714,1.166,0,1.166,0,0,0,0.15426302729528585,0.2
20,6.033426799007443,-1.0447047146401989,1.224,0,1.224,0,0,0,0.1792952853598011,0.2
20.5,5.511074441687343,-0.9806451612903225,1.1179999999999999,0,1.1179999999999999,0,0,0,0.13735483870967735,0.2
21,5.020751861042182,-0.9573498759305217,1.306,0,1.306,0,0,0,0.3486501240694784,0.2
21.5,4.542076923076921,-0.9527047146401983,1.256,0,1.256,0,0,0,0.30329528535980166,0.2
22,4.065724565756822,-0.8467692307692305,1.0759999999999998,0,1.0759999999999998,0,0,0,0.22923076923076935,0.2
22.5,3.642339950372207,-0.7330967741935485,0.9259999999999999,0,0.9259999999999999,0,0,0,0.19290322580645147,0.2
23,3.275791563275433,-0.649156327543424,0.688,0,0.688,0,0,0,0.03884367245657594,0.2
23.5,2.951213399503721,-0.5704466501240697,0.5579999999999999,0,0.5579999999999999,0,0.012446650124069758,-0.012446650124069758,0,0.2
24,2.665990074441686,2.510843672456576,0.494,0,0.494,0,0,0,3.004843672456576,0.1
24.5,3.921411910669974,2.5509677419354837,0.48200000000000004,0,0.48200000000000004,0,0,0,3.032967741935484,0.1
25,5.196895781637716,-0.14398511166252753,0.39799999999999996,0,0.39799999999999996,0,0,0,0.25401488833747243,0.1
25.5,5.124903225806452,-0.41961290322580647,0.406,0,0.406,0,0.013612903225806439,-0.013612903225806439,0,0.1
26,4.915096774193549,-0.41554838709677416,0.428,0,0.428,0,0,0,0.012451612903225828,0.1
26.5,4.707322580645163,-0.3936674937965261,0.45399999999999996,0,0.45399999999999996,0,0,0,0.06033250620347386,0.1
27,4.5104888337469,-0.4093548387096775,0.444,0,0.444,0,0,0,0.034645161290322524,0.1
27.5,4.3058114143920605,-0.40283374689826346,0.396,0,0.396,0,0.0068337468982634375,-0.0068337468982634375,0,0.1
28,4.104394540942929,-0.3721935483870967,0.392,0,0.392,0,0,0,0.019806451612903342,0.1
28.5,3.9182977667493804,-0.4465161290322581,0.442,0,0.442,0,0.0045161290322581205,-0.0045161290322581205,0,0.1
29,3.6950397022332515,-0.4148933002481394,0.444,0,0.444,0,0,0,0.029106699751860587,0.1
29.5,3.487593052109182,-0.5105161290322581,0.47600000000000003,0,0.47600000000000003,0.046153846153846156,0.08066997518610419,-0.034516129032258036,0,0.1
30,3.232334987593053,-0.750129032258064,1.274,0,1.274,0.046153846153846156,0,0.046153846153846156,0.47771712158808977,0.2
30.5,2.857270471464021,-0.6028188585607941,0.654,0,0.654,0.14615384615384613,0.09497270471464025,0.05118114143920588,0,0.2
31,2.555861042183624,-0.4997667493796527,0.622,0,0.622,0.29230769230769227,0.17007444168734498,0.12223325062034729,0,0.2
31.5,2.3059776674937975,-0.5050421836228285,0.48200000000000004,0,0.48200000000000004,0.29230769230769227,0.3153498759305207,-0.02304218362282845,0,0.2
32,2.0534565756823833,-0.2256377171215882,0.348,0,0.348,0.23846153846153845,0.11609925558312667,0.12236228287841178,0,0.2
32.5,1.9406377171215892,0.10862531017369736,0.48200000000000004,0,0.48200000000000004,0.4846153846153846,0,0.4846153846153846,0.10600992555831279,0.2
33,1.9949503722084378,0.30258560794044653,0.536,0,0.536,0.7692307692307693,0,0.7692307692307693,0.06935483870967729,0.2
33.5,2.146243176178661,0.49919106699751836,0.606,0,0.606,1.4923076923076921,0.38711662531017377,1.1051910669975182,0,0.2
34,2.3958387096774203,0.7265607940446648,0.508,0,0.508,1.6846153846153844,0.4500545905707196,1.2345607940446648,0,0.2
34.5,2.7591191066997527,0.8095384615384615,0.44,0,0.44,2.069230769230769,0.8196923076923075,1.2495384615384615,0,0.2
35,3.1638883374689835,0.8325062034739457,0.39,0,0.39,2.2153846153846155,0.9928784119106697,1.2225062034739458,0,0.2
35.5,3.5801414392059563,0.9378312655086845,0.6579999999999999,0,0.6579999999999999,1.5846153846153848,0,1.5846153846153848,0.011215880893299612,0.2
36,4.0490570719602985,1.0468933002481382,0.9279999999999999,0,0.9279999999999999,0.8153846153846154,0,0.8153846153846154,1.1595086848635228,0.2
36.5,4.572503722084368,1.080009925558313,0.956,0,0.956,0.676923076923077,0,0.676923076923077,1.359086848635236,0.2
37,5.112508684863524,1.0182828784119113,0.8340000000000001,0,0.8340000000000001,0.8153846153846154,0,0.8153846153846154,1.036898263027296,0.2
37.5,5.62165012406948,1.13355334987593,0.89,0,0.89,1.0615384615384615,0,1.0615384615384615,0.9620148883374685,0.2
38,6.188426799007445,1.0433449131513655,0.846,0,0.846,1.0615384615384615,0,1.0615384615384615,0.8278064516129039,0.2
38.5,6.710099255583128,0.9480248138957812,0.8740000000000001,0,0.8740000000000001,0.9153846153846155,0,0.9153846153846155,0.9066401985111658,0.2
39,7.184111662531018,0.8912258064516116,0.65,0,0.65,1.3923076923076925,0,1.3923076923076925,0.1489181141439192,0.2
39.5,7.629724565756824,0.5241439205955327,0.8420000000000001,0,0.8420000000000001,2.2153846153846155,0.8492406947890827,1.3661439205955328,0,0.2
40,7.89179652605459,0.21640694789081927,1.1340000000000001,0,1.1340000000000001,1.2,0,1.2,0.15040694789081943,0.2
40.5,8,-0.000526054590570979,0.8,0,0.8,0.29230769230769227,0,0.29230769230769227,0.5071662531017368,0.2
41,7.9997369727047145,-0.17064019851116718,0.99,0,0.99,0.23846153846153845,0,0.23846153846153845,0.5808982630272943,0.2
41.5,7.914416873449131,-0.34906203473945396,1.43,0,1.43,0.19230769230769232,0,0.19230769230769232,0.8886302729528537,0.2
42,7.739885856079404,-0.5707245657568247,1.218,0,1.218,0.14615384615384613,0,0.14615384615384613,0.5011215880893292,0.2
42.5,7.454523573200992,-0.8390322580645169,1.226,0,1.226,0.046153846153846156,0,0.046153846153846156,0.3408138957816369,0.2
43,7.035007444168733,-0.9914243176178665,1.1079999999999999,0,1.1079999999999999,0,0,0,0.11657568238213334,0.2
43.5,6.5392952853598,-1.011736972704714,1.188,0,1.188,0,0,0,0.17626302729528587,0.2
44,6.033426799007443,-1.0447047146401989,1.22,0,1.22,0,0,0,0.1752952853598011,0.2
44.5,5.511074441687343,-0.9806451612903225,1.242,0,1.242,0,0,0,0.26135483870967746,0.2
45,5.020751861042182,-0.9573498759305217,1.044,0,1.044,0,0,0,0.08665012406947836,0.2
45.5,4.542076923076921,-0.9527047146401983,0.892,0,0.892,0,0.06070471464019833,-0.06070471464019833,0,0.2
46,4.065724565756822,-0.8467692307692305,1.078,0,1.078,0,0,0,0.23123076923076957,0.2
46.5,3.642339950372207,-0.7330967741935485,0.8420000000000001,0,0.8420000000000001,0,0,0,0.10890322580645162,0.2
47,3.275791563275433,-0.649156327543424,0.456,0,0.456,0,0.193156327543424,-0.193156327543424,0,0.2
47.5,2.951213399503721,-0.5704466501240697,0.508,0,0.508,0,0.06244665012406969,-0.06244665012406969,0,0.2
48,2.665990074441686,2.510843672456576,0.366,0,0.366,0.046153846153846156,0,0.046153846153846156,2.83068982630273,0.1
48.5,3.921411910669974,2.5509677419354837,0.414,0,0.414,0,0,0,2.964967741935484,0.1
49,5.196895781637716,-0.21343920595528992,0.496,0,0.496,0,0,0,0.2825607940447101,0.1
49.5,5.090176178660071,-0.41961290322580647,0.5,0,0.5,0,0,0,0.08038709677419353,0.1
50,4.880369727047168,-0.41554838709677416,0.5920000000000001,0,0.5920000000000001,0,0,0,0.17645161290322592,0.1
50.5,4.672595533498781,-0.3936674937965261,0.46,0,0.46,0,0,0,0.06633250620347392,0.1
51,4.475761786600518,-0.4093548387096775,0.514,0,0.514,0,0,0,0.10464516129032253,0.1
51.5,4.271084367245679,-0.40283374689826346,0.466,0,0.466,0,0,0,0.06316625310173657,0.1
52,4.069667493796548,-0.3721935483870967,0.46799999999999997,0,0.46799999999999997,0,0,0,0.0958064516129033,0.1
52.5,3.883570719602999,-0.4465161290322581,0.42200000000000004,0,0.42200000000000004,0,0.024516129032258083,-0.024516129032258083,0,0.1
53,3.6603126550868703,-0.4148933002481394,0.3,0,0.3,0,0.11489330024813943,-0.11489330024813943,0,0.1
53.5,3.4528660049628006,-0.5105161290322581,0.5760000000000001,0,0.5760000000000001,0,0,0,0.065483870967742,0.1
54,3.1976079404466717,-0.750129032258064,0.882,0,0.882,0.046153846153846156,0,0.046153846153846156,0.08571712158808986,0.2
