,E_sto,P_sto,P_load_sp,P_shed,P_load,P_sun,P_curt,P_pv,P_grid,c_grid
0,4,-0.52,0.52,0,0.52,0,0,0,0,0.1
0.5,3.74,-0.528,0.528,0,0.528,0,0,0,0,0.1
1,3.476,-0.496,0.496,0,0.496,0,0,0,0,0.1
1.5,3.228,-0.507081886,0.524,0,0.524,0,0,0,0.0169181141,0.1
2,2.97445906,-0.0921935484,0.418,0,0.418,0,0,0,0.325806452,0.1
2.5,2.92836228,0.0218808933,0.402,0,0.402,0,0,0,0.423880893,0.1
3,2.93930273,-0.0156873449,0.434,0,0.434,0,0,0,0.418312655,0.1
3.5,2.93145906,0.00652109181,0.412,0,0.412,0,0,0,0.418521092,0.1
4,2.9347196,0.0306401985,0.508,0,0.508,0,0,0,0.538640199,0.1
4.5,2.9500397,-0.0743225806,0.516,0,0.516,0,0,0,0.441677419,0.1
5,2.91287841,0.0316228288,0.462,0,0.462,0,0,0,0.493622829,0.1
5.5,2.92868983,-0.0956228288,0.49,0,0.49,0,0,0,0.394377171,0.1
6,2.88087841,-0.491846154,0.538,0,0.538,0.0461538462,0,0.0461538462,0,0.2
6.5,2.63495533,-0.92,1.02,0,1.02,0.1,0,0.1,0,0.2
7,2.17495533,-0.305692308,0.498,0,0.498,0.192307692,0,0.192307692,0,0.2
7.5,2.02210918,-0.165692308,0.458,0,0.458,0.292307692,0,0.292307692,0,0.2
8,1.93926303,0.251076923,0.372,0,0.372,0.623076923,0,0.623076923,0,0.2
8.5,2.06480149,0.651692308,0.356,0,0.356,1.00769231,0,1.00769231,0,0.2
9,2.39064764,1.01215385,0.334,0,0.334,1.34615385,0,1.34615385,0,0.2
9.5,2.89672457,1.42292308,0.354,0,0.354,1.77692308,0,1.77692308,0,0.2
10,3.6081861,1.75153846,0.41,0,0.41,2.16153846,0,2.16153846,0,0.2
10.5,4.48395533,1.60107692,0.422,0,0.422,2.02307692,0,2.02307692,0,0.2
11,5.2844938,1.44738462,0.768,0,0.768,2.21538462,0,2.21538462,0,0.2
11.5,6.0081861,1.40784615,0.946,0,0.946,2.35384615,0,2.35384615,0,0.2
12,6.71210918,1.64215385,0.904,0,0.904,2.54615385,0,2.54615385,0,0.2
12.5,7.5331861,0.933627792,0.886,0,0.886,3.03076923,1.21114144,1.81962779,0,0.2
13,8,0,0.884,0,0.884,2.35384615,1.46984615,0.884,0,0.2
13.5,8,0,0.83,0,0.83,2.30769231,1.47769231,0.83,0,0.2
14,8,0,0.968,0,0.968,2.06923077,1.10123077,0.968,0,0.2
14.5,8,0,0.884,0,0.884,1.10769231,0.223692308,0.884,0,0.2
15,8,0,0.692,0,0.692,0.869230769,0.177230769,0.692,0,0.2
15.5,8,-0.0287692308,0.798,0,0.798,0.769230769,0,0.769230769,0,0.2
16,7.98561538,-0.190769231,0.96,0,0.96,0.769230769,0,0.769230769,0,0.2
16.5,7.89023077,0.0232307692,0.846,0,0.846,0.869230769,0,0.869230769,0,0.2
17,7.90184615,0.196307692,1.006,0,1.006,1.44615385,0.243846154,1.20230769,0,0.2
17.5,8,-0.218769231,1.088,0,1.088,0.869230769,0,0.869230769,0,0.2
18,7.89061538,-1.12953846,1.468,0,1.468,0.338461538,0,0.338461538,0,0.2
18.5,7.32584615,-1.20184615,1.348,0,1.348,0.146153846,0,0.146153846,0,0.2
19,6.72492308,-1.17784615,1.224,0,1.224,0.0461538462,0,0.0461538462,0,0.2
19.5,6.136,-1.166,1.166,0,1.166,0,0,0,0,0.2
20,5.553,-1.224,1.224,0,1.224,0,0,0,0,0.2
20.5,4.941,-1.118,1.118,0,1.118,0,0,0,0,0.2
21,4.382,-1.306,1.306,0,1.306,0,0,0,0,0.2
21.5,3.729,-1.256,1.256,0,1.256,0,0,0,0,0.2
22,3.101,-1.076,1.076,0,1.076,0,0,0,0,0.2
22.5,2.563,-0.926,0.926,0,0.926,0,0,0,0,0.2
23,2.1,-0.688,0.688,0,0.688,0,0,0,0,0.2
23.5,1.756,-0.558,0.558,0,0.558,0,0,0,0,0.2
24,1.477,2.506,0.494,0,0.494,0,0,0,3,0.1
24.5,2.73,1.32478908,0.482,0,0.482,0,0,0,1.80678908,0.1
25,3.39239454,-0.398,0.398,0,0.398,0,0,0,0,0.1
25.5,3.19339454,-0.406,0.406,0,0.406,0,0,0,0,0.1
26,2.99039454,-0.124064516,0.428,0,0.428,0,0,0,0.303935484,0.1
26.5,2.92836228,0.0218808933,0.454,0,0.454,0,0,0,0.475880893,0.1
27,2.93930273,-0.0156873449,0.444,0,0.444,0,0,0,0.428312655,0.1
27.5,2.93145906,0.00652109181,0.396,0,0.396,0,0,0,0.402521092,0.1
28,2.9347196,0.0306401985,0.392,0,0.392,0,0,0,0.422640199,0.1
28.5,2.9500397,-0.0743225806,0.442,0,0.442,0,0,0,0.367677419,0.1
29,2.91287841,0.0316228288,0.444,0,0.444,0,0,0,0.475622829,0.1
29.5,2.92868983,-0.0956228288,0.476,0,0.476,0.0461538462,0,0.0461538462,0.334223325,0.1
30,2.88087841,-1.22784615,1.274,0,1.274,0.0461538462,0,0.0461538462,0,0.2
30.5,2.26695533,-0.507846154,0.654,0,0.654,0.146153846,0,0.146153846,0,0.2
31,2.01303226,-0.329692308,0.622,0,0.622,0.292307692,0,0.292307692,0,0.2
31.5,1.8481861,-0.189692308,0.482,0,0.482,0.292307692,0,0.292307692,0,0.2
32,1.75333995,-0.109538462,0.348,0,0.348,0.238461538,0,0.238461538,0,0.2
32.5,1.69857072,0.00261538462,0.482,0,0.482,0.484615385,0,0.484615385,0,0.2
33,1.69987841,0.233230769,0.536,0,0.536,0.769230769,0,0.769230769,0,0.2
33.5,1.8164938,0.886307692,0.606,0,0.606,1.49230769,0,1.49230769,0,0.2
34,2.25964764,1.17661538,0.508,0,0.508,1.68461538,0,1.68461538,0,0.2
34.5,2.84795533,1.62923077,0.44,0,0.44,2.06923077,0,2.06923077,0,0.2
35,3.66257072,1.82538462,0.39,0,0.39,2.21538462,0,2.21538462,0,0.2
35.5,4.57526303,0.926615385,0.658,0,0.658,1.58461538,0,1.58461538,0,0.2
36,5.03857072,-0.112615385,0.928,0,0.928,0.815384615,0,0.815384615,0,0.2
36.5,4.98226303,-0.279076923,0.956,0,0.956,0.676923077,0,0.676923077,0,0.2
37,4.84272457,-0.0186153846,0.834,0,0.834,0.815384615,0,0.815384615,0,0.2
37.5,4.83341687,0.171538462,0.89,0,0.89,1.06153846,0,1.06153846,0,0.2
38,4.9191861,0.215538462,0.846,0,0.846,1.06153846,0,1.06153846,0,0.2
38.5,5.02695533,0.0413846154,0.874,0,0.874,0.915384615,0,0.915384615,0,0.2
39,5.04764764,0.742307692,0.65,0,0.65,1.39230769,0,1.39230769,0,0.2
39.5,5.41880149,1.37338462,0.842,0,0.842,2.21538462,0,2.21538462,0,0.2
40,6.1054938,0.066,1.134,0,1.134,1.2,0,1.2,0,0.2
40.5,6.1384938,-0.507692308,0.8,0,0.8,0.292307692,0,0.292307692,0,0.2
41,5.88464764,-0.751538462,0.99,0,0.99,0.238461538,0,0.238461538,0,0.2
41.5,5.50887841,-0.869965261,1.43,0,1.43,0.192307692,0,0.192307692,0.367727047,0.2
42,5.07389578,-0.570724566,1.218,0,1.218,0.146153846,0,0.146153846,0.501121588,0.2
42.5,4.7885335,-0.839032258,1.226,0,1.226,0.0461538462,0,0.0461538462,0.340813896,0.2
43,4.36901737,-0.991424318,1.108,0,1.108,0,0,0,0.116575682,0.2
43.5,3.87330521,-1.01173697,1.188,0,1.188,0,0,0,0.176263027,0.2
44,3.36743672,-1.04470471,1.22,0,1.22,0,0,0,0.175295285,0.2
44.5,2.84508437,-0.980645161,1.242,0,1.242,0,0,0,0.261354839,0.2
45,2.35476179,-0.957349876,1.044,0,1.044,0,0,0,0.0866501241,0.2
45.5,1.87608685,-0.892,0.892,0,0.892,0,0,0,0,0.2
46,1.43008685,-0.907473945,1.078,0,1.078,0,0,0,0.170526055,0.2
46.5,0.976349876,-0.733096774,0.842,0,0.842,0,0,0,0.108903226,0.2
47,0.609801489,-0.456,0.456,0,0.456,0,0,0,0,0.2
47.5,0.381801489,-0.508,0.508,0,0.508,0,0,0,0,0.2
48,0.127801489,2.68015385,0.366,0,0.366,0.0461538462,0,0.0461538462,3,0.1
48.5,1.46787841,2.586,0.414,0,0.414,0,0,0,3,0.1
49,2.76087841,0.846774194,0.496,0,0.496,0,0,0,1.34277419,0.1
49.5,3.18426551,-0.419612903,0.5,0,0.5,0,0,0,0.0803870968,0.1
50,2.97445906,-0.0921935484,0.592,0,0.592,0,0,0,0.499806452,0.1
50.5,2.92836228,0.0218808933,0.46,0,0.46,0,0,0,0.481880893,0.1
51,2.93930273,-0.0156873449,0.514,0,0.514,0,0,0,0.498312655,0.1
51.5,2.93145906,0.00652109181,0.466,0,0.466,0,0,0,0.472521092,0.1
52,2.9347196,0.0306401985,0.468,0,0.468,0,0,0,0.498640199,0.1
52.5,2.9500397,-0.0743225806,0.422,0,0.422,0,0,0,0.347677419,0.1
53,2.91287841,0.0316228288,0.3,0,0.3,0,0,0,0.331622829,0.1
53.5,2.92868983,-0.0956228288,0.576,0,0.576,0,0,0,0.480377171,0.1
54,2.88087841,-0.835846154,0.882,0,0.882,0.0461538462,0,0.0461538462,0,0.2
54.5,2.46295533,-0.299692308,0.492,0,0.492,0.192307692,0,0.192307692,0,0.2
55,2.31310918,-0.251538462,0.59,0,0.59,0.338461538,0,0.338461538,0,0.2
55.5,2.18733995,0.176769231,0.254,0,0.254,0.430769231,0,0.430769231,0,0.2
56,2.27572457,0.180923077,0.396,0,0.396,0.576923077,0,0.576923077,0,0.2
56.5,2.3661861,0.521384615,0.294,0,0.294,0.815384615,0,0.815384615,0,0.2
57,2.62687841,0.549384615,0.366,0,0.366,0.915384615,0,0.915384615,0,0.2
57.5,2.90157072,0.483384615,0.432,0,0.432,0.915384615,0,0.915384615,0,0.2
58,3.14326303,0.465692308,0.542,0,0.542,1.00769231,0,1.00769231,0,0.2
58.5,3.37610918,1.42092308,0.356,0,0.356,1.77692308,0,1.77692308,0,0.2
59,4.08657072,1.48507692,0.438,0,0.438,1.92307692,0,1.92307692,0,0.2
59.5,4.82910918,1.35276923,0.478,0,0.478,1.83076923,0,1.83076923,0,0.2
60,5.5054938,1.19076923,0.54,0,0.54,1.73076923,0,1.73076923,0,0.2
60.5,6.10087841,1.47307692,0.55,0,0.55,2.02307692,0,2.02307692,0,0.2
61,6.83741687,1.15907692,0.864,0,0.864,2.02307692,0,2.02307692,0,0.2
61.5,7.41695533,1.16608933,0.908,0,0.908,3.22307692,1.14898759,2.07408933,0,0.2
62,8,0,0.868,0,0.868,2.79230769,1.92430769,0.868,0,0.2
