,E_sto,P_sto,P_load_sp,P_shed,P_load,P_sun,P_curt,P_pv,P_grid,c_grid
0,4,-0.52,0.52,0,0.52,0,0,0,0,0.1
0.5,3.74,-0.528,0.528,0,0.528,0,0,0,0,0.1
1,3.476,-0.496,0.496,0,0.496,0,0,0,0,0.1
1.5,3.228,-0.524,0.524,0,0.524,0,0,0,0,0.1
2,2.966,-0.418,0.418,0,0.418,0,0,0,0,0.1
2.5,2.757,-0.402,0.402,0,0.402,0,0,0,0,0.1
3,2.556,-0.434,0.434,0,0.434,0,0,0,0,0.1
3.5,2.339,-0.412,0.412,0,0.412,0,0,0,0,0.1
4,2.133,-0.508,0.508,0,0.508,0,0,0,0,0.1
4.5,1.879,-0.516,0.516,0,0.516,0,0,0,0,0.1
5,1.621,-0.462,0.462,0,0.462,0,0,0,0,0.1
5.5,1.39,-0.49,0.49,0,0.49,0,0,0,0,0.1
6,1.145,-0.491846154,0.538,0,0.538,0.0461538462,0,0.0461538462,0,0.2
6.5,0.899076923,-0.92,1.02,0,1.02,0.1,0,0.1,0,0.2
7,0.439076923,-0.305692308,0.498,0,0.498,0.192307692,0,0.192307692,0,0.2
7.5,0.286230769,-0.165692308,0.458,0,0.458,0.292307692,0,0.292307692,0,0.2
8,0.203384615,0.251076923,0.372,0,0.372,0.623076923,0,0.623076923,0,0.2
8.5,0.328923077,0.651692308,0.356,0,0.356,1.00769231,0,1.00769231,0,0.2
9,0.654769231,1.01215385,0.334,0,0.334,1.34615385,0,1.34615385,0,0.2
9.5,1.16084615,1.42292308,0.354,0,0.354,1.77692308,0,1.77692308,0,0.2
10,1.87230769,1.75153846,0.41,0,0.41,2.16153846,0,2.16153846,0,0.2
10.5,2.74807692,1.60107692,0.422,0,0.422,2.02307692,0,2.02307692,0,0.2
11,3.54861538,1.44738462,0.768,0,0.768,2.21538462,0,2.21538462,0,0.2
11.5,4.27230769,1.40784615,0.946,0,0.946,2.35384615,0,2.35384615,0,0.2
12,4.97623077,1.64215385,0.904,0,0.904,2.54615385,0,2.54615385,0,0.2
12.5,5.79730769,2.14476923,0.886,0,0.886,3.03076923,0,3.03076923,0,0.2
13,6.86969231,1.46984615,0.884,0,0.884,2.35384615,0,2.35384615,0,0.2
13.5,7.60461538,0.790769231,0.83,0,0.83,2.30769231,0.686923077,1.62076923,0,0.2
14,8,0,0.968,0,0.968,2.06923077,1.10123077,0.968,0,0.2
14.5,8,0,0.884,0,0.884,1.10769231,0.223692308,0.884,0,0.2
15,8,0,0.692,0,0.692,0.869230769,0.177230769,0.692,0,0.2
15.5,8,-0.0287692308,0.798,0,0.798,0.769230769,0,0.769230769,0,0.2
16,7.98561538,-0.190769231,0.96,0,0.96,0.769230769,0,0.769230769,0,0.2
16.5,7.89023077,0.0232307692,0.846,0,0.846,0.869230769,0,0.869230769,0,0.2
17,7.90184615,0.196307692,1.006,0,1.006,1.44615385,0.243846154,1.20230769,0,0.2
17.5,8,-0.218769231,1.088,0,1.088,0.869230769,0,0.869230769,0,0.2
18,7.89061538,-1.12953846,1.468,0,1.468,0.338461538,0,0.338461538,0,0.2
18.5,7.32584615,-1.20184615,1.348,0,1.348,0.146153846,0,0.146153846,0,0.2
19,6.72492308,-1.17784615,1.224,0,1.224,0.0461538462,0,0.0461538462,0,0.2
19.5,6.136,-1.166,1.166,0,1.166,0,0,0,0,0.2
20,5.553,-1.224,1.224,0,1.224,0,0,0,0,0.2
20.5,4.941,-1.118,1.118,0,1.118,0,0,0,0,0.2
21,4.382,-1.306,1.306,0,1.306,0,0,0,0,0.2
21.5,3.729,-1.256,1.256,0,1.256,0,0,0,0,0.2
22,3.101,-1.076,1.076,0,1.076,0,0,0,0,0.2
22.5,2.563,-0.926,0.926,0,0.926,0,0,0,0,0.2
23,2.1,-0.688,0.688,0,0.688,0,0,0,0,0.2
23.5,1.756,-0.558,0.558,0,0.558,0,0,0,0,0.2
24,1.477,-0.494,0.494,0,0.494,0,0,0,0,0.1
24.5,1.23,-0.482,0.482,0,0.482,0,0,0,0,0.1
25,0.989,-0.398,0.398,0,0.398,0,0,0,0,0.1
25.5,0.79,-0.406,0.406,0,0.406,0,0,0,0,0.1
26,0.587,-0.428,0.428,0,0.428,0,0,0,0,0.1
26.5,0.373,-0.454,0.454,0,0.454,0,0,0,0,0.1
27,0.146,-0.292,0.444,0,0.444,0,0,0,0.152,0.1
27.5,0,0,0.396,0,0.396,0,0,0,0.396,0.1
28,0,0,0.392,0,0.392,0,0,0,0.392,0.1
28.5,0,0,0.442,0,0.442,0,0,0,0.442,0.1
29,0,0,0.444,0,0.444,0,0,0,0.444,0.1
29.5,0,0,0.476,0,0.476,0.0461538462,0,0.0461538462,0.429846154,0.1
30,0,0,1.274,0,1.274,0.0461538462,0,0.0461538462,1.22784615,0.2
30.5,0,0,0.654,0,0.654,0.146153846,0,0.146153846,0.507846154,0.2
31,0,0,0.622,0,0.622,0.292307692,0,0.292307692,0.329692308,0.2
31.5,0,0,0.482,0,0.482,0.292307692,0,0.292307692,0.189692308,0.2
32,0,0,0.348,0,0.348,0.238461538,0,0.238461538,0.109538462,0.2
32.5,0,0.00261538462,0.482,0,0.482,0.484615385,0,0.484615385,0,0.2
33,0.00130769231,0.233230769,0.536,0,0.536,0.769230769,0,0.769230769,0,0.2
33.5,0.117923077,0.886307692,0.606,0,0.606,1.49230769,0,1.49230769,0,0.2
34,0.561076923,1.17661538,0.508,0,0.508,1.68461538,0,1.68461538,0,0.2
34.5,1.14938462,1.62923077,0.44,0,0.44,2.06923077,0,2.06923077,0,0.2
35,1.964,1.82538462,0.39,0,0.39,2.21538462,0,2.21538462,0,0.2
35.5,2.87669231,0.926615385,0.658,0,0.658,1.58461538,0,1.58461538,0,0.2
36,3.34,-0.112615385,0.928,0,0.928,0.815384615,0,0.815384615,0,0.2
36.5,3.28369231,-0.279076923,0.956,0,0.956,0.676923077,0,0.676923077,0,0.2
37,3.14415385,-0.0186153846,0.834,0,0.834,0.815384615,0,0.815384615,0,0.2
37.5,3.13484615,0.171538462,0.89,0,0.89,1.06153846,0,1.06153846,0,0.2
38,3.22061538,0.215538462,0.846,0,0.846,1.06153846,0,1.06153846,0,0.2
38.5,3.32838462,0.0413846154,0.874,0,0.874,0.915384615,0,0.915384615,0,0.2
39,3.34907692,0.742307692,0.65,0,0.65,1.39230769,0,1.39230769,0,0.2
39.5,3.72023077,1.37338462,0.842,0,0.842,2.21538462,0,2.21538462,0,0.2
40,4.40692308,0.066,1.134,0,1.134,1.2,0,1.2,0,0.2
40.5,4.43992308,-0.507692308,0.8,0,0.8,0.292307692,0,0.292307692,0,0.2
41,4.18607692,-0.751538462,0.99,0,0.99,0.238461538,0,0.238461538,0,0.2
41.5,3.81030769,-1.23769231,1.43,0,1.43,0.192307692,0,0.192307692,0,0.2
42,3.19146154,-1.07184615,1.218,0,1.218,0.146153846,0,0.146153846,0,0.2
42.5,2.65553846,-1.17984615,1.226,0,1.226,0.0461538462,0,0.0461538462,0,0.2
43,2.06561538,-1.108,1.108,0,1.108,0,0,0,0,0.2
43.5,1.51161538,-1.188,1.188,0,1.188,0,0,0,0,0.2
44,0.917615385,-1.22,1.22,0,1.22,0,0,0,0,0.2
44.5,0.307615385,-0.615230769,1.242,0,1.242,0,0,0,0.626769231,0.2
45,0,0,1.044,0,1.044,0,0,0,1.044,0.2
45.5,0,0,0.892,0,0.892,0,0,0,0.892,0.2
46,0,0,1.078,0,1.078,0,0,0,1.078,0.2
46.5,0,0,0.842,0,0.842,0,0,0,0.842,0.2
47,0,0,0.456,0,0.456,0,0,0,0.456,0.2
47.5,0,0,0.508,0,0.508,0,0,0,0.508,0.2
48,0,0,0.366,0,0.366,0.0461538462,0,0.0461538462,0.319846154,0.1
48.5,0,0,0.414,0,0.414,0,0,0,0.414,0.1
49,0,0,0.496,0,0.496,0,0,0,0.496,0.1
49.5,0,0,0.5,0,0.5,0,0,0,0.5,0.1
50,0,0,0.592,0,0.592,0,0,0,0.592,0.1
50.5,0,0,0.46,0,0.46,0,0,0,0.46,0.1
51,0,0,0.514,0,0.514,0,0,0,0.514,0.1
51.5,0,0,0.466,0,0.466,0,0,0,0.466,0.1
52,0,0,0.468,0,0.468,0,0,0,0.468,0.1
52.5,0,0,0.422,0,0.422,0,0,0,0.422,0.1
53,0,0,0.3,0,0.3,0,0,0,0.3,0.1
53.5,0,0,0.576,0,0.576,0,0,0,0.576,0.1
54,0,0,0.882,0,0.882,0.0461538462,0,0.0461538462,0.835846154,0.2
54.5,0,0,0.492,0,0.492,0.192307692,0,0.192307692,0.299692308,0.2
55,0,0,0.59,0,0.59,0.338461538,0,0.338461538,0.251538462,0.2
55.5,0,0.176769231,0.254,0,0.254,0.430769231,0,0.430769231,0,0.2
56,0.0883846154,0.180923077,0.396,0,0.396,0.576923077,0,0.576923077,0,0.2
56.5,0.178846154,0.521384615,0.294,0,0.294,0.815384615,0,0.815384615,0,0.2
57,0.439538462,0.549384615,0.366,0,0.366,0.915384615,0,0.915384615,0,0.2
57.5,0.714230769,0.483384615,0.432,0,0.432,0.915384615,0,0.915384615,0,0.2
58,0.955923077,0.465692308,0.542,0,0.542,1.00769231,0,1.00769231,0,0.2
58.5,1.18876923,1.42092308,0.356,0,0.356,1.77692308,0,1.77692308,0,0.2
59,1.89923077,1.48507692,0.438,0,0.438,1.92307692,0,1.92307692,0,0.2
59.5,2.64176923,1.35276923,0.478,0,0.478,1.83076923,0,1.83076923,0,0.2
60,3.31815385,1.19076923,0.54,0,0.54,1.73076923,0,1.73076923,0,0.2
60.5,3.91353846,1.47307692,0.55,0,0.55,2.02307692,0,2.02307692,0,0.2
61,4.65007692,1.15907692,0.864,0,0.864,2.02307692,0,2.02307692,0,0.2
61.5,5.22961538,2.31507692,0.908,0,0.908,3.22307692,0,3.22307692,0,0.2
62,6.38715385,1.92430769,0.868,0,0.868,2.79230769,0,2.79230769,0,0.2
62.5,7.34930769,1.30138462,1.214,0,1.214,2.88461538,0.369230769,2.51538462,0,0.2
63,8,0,1.084,0,1.084,3.03076923,1.94676923,1.084,0,0.2
63.5,8,0,2.39,0,2.39,2.79230769,0.402307692,2.39,0,0.2
64,8,0,1.782,0,1.782,2.54615385,0.764153846,1.782,0,0.2
64.5,8,0,0.76,0,0.76,2.26153846,1.50153846,0.76,0,0.2
65,8,0,0.906,0,0.906,1.87692308,0.970923077,0.906,0,0.2
65.5,8,0,0.988,0,0.988,1.53846154,0.550461538,0.988,0,0.2
66,8,-0.0884615385,1.15,0,1.15,1.06153846,0,1.06153846,0,0.2
66.5,7.95576923,-0.336923077,0.96,0,0.96,0.623076923,0,0.623076923,0,0.2
67,7.78730769,-0.743692308,0.936,0,0.936,0.192307692,0,0.192307692,0,0.2
