t,E_sto,P_sto,P_load_sp,P_shed,P_load,P_sun,P_curt,P_pv,P_grid,c_grid
0.0,4.0,-0.37666666666666665,0.52,0.0,0.52,0.0,0.0,0.0,0.14333333333333337,0.1
0.5,3.8116666666666665,-0.3766666666666666,0.528,0.0,0.528,0.0,0.0,0.0,0.15133333333333343,0.1
1.0,3.623333333333333,-0.3766666666666666,0.496,0.0,0.496,0.0,0.0,0.0,0.1193333333333334,0.1
1.5,3.4349999999999996,-0.3766666666666666,0.524,0.0,0.524,0.0,0.0,0.0,0.14733333333333343,0.1
2.0,3.246666666666666,-0.37666666666666654,0.418,0.0,0.418,0.0,0.0,0.0,0.041333333333333444,0.1
2.5,3.0583333333333327,-0.3766666666666665,0.402,0.0,0.402,0.0,0.0,0.0,0.02533333333333354,0.1
3.0,2.869999999999999,-0.3766666666666664,0.434,0.0,0.434,0.0,0.0,0.0,0.05733333333333357,0.1
3.5,2.681666666666666,-0.3766666666666665,0.412,0.0,0.412,0.0,0.0,0.0,0.035333333333333494,0.1
4.0,2.493333333333333,-0.3766666666666666,0.508,0.0,0.508,0.0,0.0,0.0,0.1313333333333334,0.1
4.5,2.3049999999999997,-0.3766666666666665,0.516,0.0,0.516,0.0,0.0,0.0,0.13933333333333353,0.1
5.0,2.1166666666666663,-0.37666666666666626,0.462,0.0,0.462,0.0,0.0,0.0,0.08533333333333376,0.1
5.5,1.9283333333333332,-0.3766666666666665,0.49,0.0,0.49,0.0,0.0,0.0,0.11333333333333351,0.1
6.0,1.74,-0.4918461538461538,0.5379999999999999,0.0,0.5379999999999999,0.046153846153846156,0.0,0.046153846153846156,-5.551115123125783e-17,0.2
6.5,1.494076923076923,-0.9199999999999999,1.02,0.0,1.02,0.09999999999999999,0.0,0.09999999999999999,1.1102230246251565e-16,0.2
7.0,1.0340769230769231,-0.3056923076923077,0.498,0.0,0.498,0.19230769230769232,0.0,0.19230769230769232,0.0,0.2
7.5,0.8812307692307693,-0.1656923076923078,0.458,0.0,0.458,0.29230769230769227,0.0,0.29230769230769227,-5.551115123125783e-17,0.2
8.0,0.7983846153846154,0.251076923076923,0.3720000000000001,0.0,0.3720000000000001,0.6230769230769231,0.0,0.6230769230769231,0.0,0.2
8.5,0.9239230769230768,0.6516923076923073,0.35600000000000004,0.0,0.35600000000000004,1.0076923076923077,2.220446049250313e-16,1.0076923076923074,0.0,0.2
9.0,1.2497692307692305,1.0121538461538462,0.334,0.0,0.334,1.346153846153846,-2.220446049250313e-16,1.3461538461538463,0.0,0.2
9.5,1.7558461538461536,1.4229230769230767,0.354,0.0,0.354,1.776923076923077,4.440892098500626e-16,1.7769230769230766,0.0,0.2
10.0,2.467307692307692,1.7515384615384617,0.41,0.0,0.41,2.161538461538462,2.220446049250313e-16,2.161538461538462,0.0,0.2
10.5,3.343076923076923,1.6010769230769233,0.422,0.0,0.422,2.023076923076923,-2.220446049250313e-16,2.023076923076923,0.0,0.2
11.0,4.1436153846153845,1.4473846153846157,0.768,0.0,0.768,2.2153846153846155,-2.220446049250313e-16,2.2153846153846155,0.0,0.2
11.5,4.867307692307692,1.4078461538461546,0.946,0.0,0.946,2.353846153846154,-6.661338147750939e-16,2.3538461538461544,0.0,0.2
12.0,5.57123076923077,1.642153846153846,0.904,0.0,0.904,2.546153846153846,0.0,2.546153846153846,0.0,0.2
12.5,6.392307692307693,2.1447692307692314,0.8859999999999999,0.0,0.8859999999999999,3.03076923076923,-8.881784197001252e-16,3.030769230769231,0.0,0.2
13.0,7.464692307692308,1.0706153846153832,0.884,0.0,0.884,2.353846153846154,0.39923076923077083,1.954615384615383,0.0,0.2
13.5,8.0,0.0,0.83,0.0,0.83,2.3076923076923075,1.4776923076923074,0.8300000000000001,0.0,0.2
14.0,8.0,0.0,0.968,0.0,0.968,2.069230769230769,1.101230769230769,0.968,0.0,0.2
14.5,8.0,0.0,0.884,0.0,0.884,1.1076923076923078,0.22369230769230775,0.884,0.0,0.2
15.0,8.0,0.0,0.6920000000000001,0.0,0.6920000000000001,0.8692307692307693,0.1772307692307692,0.6920000000000001,0.0,0.2
15.5,8.0,-0.028769230769229992,0.7979999999999999,0.0,0.7979999999999999,0.7692307692307693,0.0,0.7692307692307693,6.661338147750939e-16,0.2
16.0,7.985615384615385,-0.1907692307692308,0.96,0.0,0.96,0.7692307692307693,0.0,0.7692307692307693,-1.1102230246251565e-16,0.2
16.5,7.89023076923077,0.02323076923076961,0.846,0.0,0.846,0.8692307692307693,-3.3306690738754696e-16,0.8692307692307696,0.0,0.2
17.0,7.901846153846154,0.19630769230769118,1.006,0.0,1.006,1.4461538461538461,0.24384615384615493,1.2023076923076912,0.0,0.2
17.5,8.0,-0.21876923076923127,1.088,0.0,1.088,0.8692307692307693,0.0,0.8692307692307693,-4.440892098500626e-16,0.2
18.0,7.890615384615384,-1.129538461538461,1.4680000000000002,0.0,1.4680000000000002,0.3384615384615385,0.0,0.3384615384615385,8.881784197001252e-16,0.2
18.5,7.325846153846154,-1.2018461538461533,1.348,0.0,1.348,0.14615384615384613,0.0,0.14615384615384613,6.661338147750939e-16,0.2
19.0,6.724923076923077,-1.1778461538461542,1.224,0.0,1.224,0.046153846153846156,0.0,0.046153846153846156,-4.440892098500626e-16,0.2
19.5,6.136,-1.1660000000000004,1.166,0.0,1.166,0.0,0.0,0.0,-4.440892098500626e-16,0.2
20.0,5.553,-1.2240000000000002,1.224,0.0,1.224,0.0,0.0,0.0,-2.220446049250313e-16,0.2
20.5,4.941,-1.1180000000000003,1.118,0.0,1.118,0.0,0.0,0.0,-2.220446049250313e-16,0.2
21.0,4.382,-1.306,1.306,0.0,1.306,0.0,0.0,0.0,0.0,0.2
21.5,3.7289999999999996,-1.2560000000000002,1.256,0.0,1.256,0.0,0.0,0.0,-2.220446049250313e-16,0.2
22.0,3.1009999999999995,-1.0759999999999996,1.0759999999999998,0.0,1.0759999999999998,0.0,0.0,0.0,2.220446049250313e-16,0.2
22.5,2.5629999999999997,-0.9260000000000002,0.926,0.0,0.926,0.0,0.0,0.0,-1.1102230246251565e-16,0.2
23.0,2.0999999999999996,-0.6879999999999997,0.688,0.0,0.688,0.0,0.0,0.0,2.220446049250313e-16,0.2
23.5,1.7559999999999998,-0.5579999999999998,0.5579999999999999,0.0,0.5579999999999999,0.0,0.0,0.0,1.1102230246251565e-16,0.2
24.0,1.4769999999999999,0.043833333333333356,0.494,0.0,0.494,0.0,0.0,0.0,0.5378333333333334,0.1
24.5,1.4989166666666665,0.04383333333333337,0.482,0.0,0.482,0.0,0.0,0.0,0.5258333333333334,0.1
25.0,1.520833333333333,0.04383333333333339,0.398,0.0,0.398,0.0,0.0,0.0,0.4418333333333334,0.1
25.5,1.5427499999999998,0.04383333333333336,0.406,0.0,0.406,0.0,0.0,0.0,0.4498333333333334,0.1
26.0,1.5646666666666664,0.04383333333333339,0.428,0.0,0.428,0.0,0.0,0.0,0.4718333333333334,0.1
26.5,1.586583333333333,0.043833333333333425,0.454,0.0,0.454,0.0,0.0,0.0,0.49783333333333346,0.1
27.0,1.6084999999999998,0.04383333333333339,0.444,0.0,0.444,0.0,0.0,0.0,0.4878333333333334,0.1
