t,E_sto,P_sto,P_load_sp,P_shed,P_load,P_sun,P_curt,P_pv,P_grid,c_grid
0.0,4.0,-0.5199999999999996,0.52,0.0,0.52,0.0,0.0,0.0,4.440892098500626e-16,0.1
0.5,3.74,-0.5280000000000005,0.528,0.0,0.528,0.0,0.0,0.0,-4.440892098500626e-16,0.1
1.0,3.476,-0.49600000000000044,0.496,0.0,0.496,0.0,0.0,0.0,-4.440892098500626e-16,0.1
1.5,3.2279999999999998,-0.524,0.524,0.0,0.524,0.0,0.0,0.0,0.0,0.1
2.0,2.9659999999999997,-0.41800000000000015,0.418,0.0,0.418,0.0,0.0,0.0,-1.6653345369377348e-16,0.1
2.5,2.7569999999999997,-0.40200000000000014,0.402,0.0,0.402,0.0,0.0,0.0,-1.1102230246251565e-16,0.1
3.0,2.5559999999999996,-0.43400000000000016,0.434,0.0,0.434,0.0,0.0,0.0,-1.6653345369377348e-16,0.1
3.5,2.3389999999999995,-0.4119999999999999,0.412,0.0,0.412,0.0,0.0,0.0,5.551115123125783e-17,0.1
4.0,2.1329999999999996,-0.508,0.508,0.0,0.508,0.0,0.0,0.0,0.0,0.1
4.5,1.8789999999999996,-0.516,0.516,0.0,0.516,0.0,0.0,0.0,0.0,0.1
5.0,1.6209999999999996,-0.4620000000000002,0.462,0.0,0.462,0.0,0.0,0.0,-1.6653345369377348e-16,0.1
5.5,1.3899999999999995,-0.48999999999999977,0.49,0.0,0.49,0.0,0.0,0.0,2.220446049250313e-16,0.1
6.0,1.1449999999999996,-0.4918461538461538,0.5379999999999999,0.0,0.5379999999999999,0.046153846153846156,0.0,0.046153846153846156,-5.551115123125783e-17,0.2
6.5,0.8990769230769227,-0.92,1.02,0.0,1.02,0.09999999999999999,0.0,0.09999999999999999,0.0,0.2
7.0,0.43907692307692264,-0.3056923076923077,0.498,0.0,0.498,0.19230769230769232,0.0,0.19230769230769232,0.0,0.2
7.5,0.2862307692307688,-0.16569230769230775,0.458,0.0,0.458,0.29230769230769227,0.0,0.29230769230769227,0.0,0.2
8.0,0.20338461538461491,0.25107692307692303,0.3720000000000001,0.0,0.3720000000000001,0.6230769230769231,-5.551115123125783e-17,0.6230769230769231,0.0,0.2
8.5,0.32892307692307643,0.6516923076923076,0.35600000000000004,0.0,0.35600000000000004,1.0076923076923077,0.0,1.0076923076923077,0.0,0.2
9.0,0.6547692307692302,1.012153846153846,0.334,0.0,0.334,1.346153846153846,0.0,1.346153846153846,0.0,0.2
9.5,1.1608461538461532,1.4229230769230772,0.354,0.0,0.354,1.776923076923077,0.0,1.776923076923077,0.0,0.2
10.0,1.8723076923076918,1.7515384615384617,0.41,0.0,0.41,2.161538461538462,2.220446049250313e-16,2.161538461538462,0.0,0.2
10.5,2.7480769230769226,1.6010769230769233,0.422,0.0,0.422,2.023076923076923,-2.220446049250313e-16,2.023076923076923,0.0,0.2
11.0,3.5486153846153843,1.4473846153846148,0.768,0.0,0.768,2.2153846153846155,6.661338147750939e-16,2.2153846153846146,0.0,0.2
11.5,4.272307692307692,1.4078461538461546,0.946,0.0,0.946,2.353846153846154,-6.661338147750939e-16,2.3538461538461544,0.0,0.2
12.0,4.976230769230769,1.642153846153846,0.904,0.0,0.904,2.546153846153846,0.0,2.546153846153846,0.0,0.2
12.5,5.797307692307692,2.1447692307692314,0.8859999999999999,0.0,0.8859999999999999,3.03076923076923,-8.881784197001252e-16,3.030769230769231,0.0,0.2
13.0,6.869692307692308,1.469846153846154,0.884,0.0,0.884,2.353846153846154,0.0,2.353846153846154,0.0,0.2
13.5,7.604615384615385,0.7907692307692304,0.83,0.0,0.83,2.3076923076923075,0.686923076923077,1.6207692307692305,0.0,0.2
14.0,8.0,0.0,0.968,0.0,0.968,2.069230769230769,1.101230769230769,0.968,0.0,0.2
14.5,8.0,0.0,0.884,0.0,0.884,1.1076923076923078,0.22369230769230775,0.884,0.0,0.2
15.0,8.0,0.0,0.6920000000000001,0.0,0.6920000000000001,0.8692307692307693,0.1772307692307692,0.6920000000000001,0.0,0.2
15.5,8.0,-0.028769230769229992,0.7979999999999999,0.0,0.7979999999999999,0.7692307692307693,0.0,0.7692307692307693,6.661338147750939e-16,0.2
16.0,7.985615384615385,-0.1907692307692308,0.96,0.0,0.96,0.7692307692307693,0.0,0.7692307692307693,-1.1102230246251565e-16,0.2
16.5,7.89023076923077,0.02323076923076961,0.846,0.0,0.846,0.8692307692307693,-3.3306690738754696e-16,0.8692307692307696,0.0,0.2
17.0,7.901846153846154,0.19630769230769118,1.006,0.0,1.006,1.4461538461538461,0.24384615384615493,1.2023076923076912,0.0,0.2
17.5,8.0,-0.21876923076923127,1.088,0.0,1.088,0.8692307692307693,0.0,0.8692307692307693,-4.440892098500626e-16,0.2
18.0,7.890615384615384,-1.129538461538461,1.4680000000000002,0.0,1.4680000000000002,0.3384615384615385,0.0,0.3384615384615385,8.881784197001252e-16,0.2
18.5,7.325846153846154,-1.2018461538461533,1.348,0.0,1.348,0.14615384615384613,0.0,0.14615384615384613,6.661338147750939e-16,0.2
19.0,6.724923076923077,-1.1778461538461542,1.224,0.0,1.224,0.046153846153846156,0.0,0.046153846153846156,-4.440892098500626e-16,0.2
19.5,6.136,-1.1660000000000004,1.166,0.0,1.166,0.0,0.0,0.0,-4.440892098500626e-16,0.2
20.0,5.553,-1.2240000000000002,1.224,0.0,1.224,0.0,0.0,0.0,-2.220446049250313e-16,0.2
20.5,4.941,-1.1180000000000003,1.118,0.0,1.118,0.0,0.0,0.0,-2.220446049250313e-16,0.2
21.0,4.382,-1.306,1.306,0.0,1.306,0.0,0.0,0.0,0.0,0.2
21.5,3.7289999999999996,-1.2560000000000002,1.256,0.0,1.256,0.0,0.0,0.0,-2.220446049250313e-16,0.2
