t,E_sto,P_sto,P_load_sp,P_shed,P_load,P_sun,P_curt,P_pv,P_grid,c_grid
0.0,4.0,-0.49166666666666636,0.52,0.0,0.52,0.0,0.0,0.0,0.028333333333333655,0.1
0.5,3.754166666666667,-0.42312499999999986,0.528,0.0,0.528,0.0,0.0,0.0,0.10487500000000016,0.1
1.0,3.542604166666667,-0.3961588541666666,0.496,0.0,0.496,0.0,0.0,0.0,0.09984114583333342,0.1
1.5,3.3445247395833335,-0.3868246256510416,0.524,0.0,0.524,0.0,0.0,0.0,0.13717537434895843,0.1
2.0,3.1511124267578126,-0.34972288004557284,0.418,0.0,0.418,0.0,0.0,0.0,0.06827711995442715,0.1
2.5,2.976250986735026,-0.3526568667093911,0.402,0.0,0.402,0.0,0.0,0.0,0.04934313329060891,0.1
3.0,2.7999225533803305,-0.3307849291960395,0.434,0.0,0.434,0.0,0.0,0.0,0.10321507080396047,0.1
3.5,2.6345300887823107,-0.27721092567990213,0.412,0.0,0.412,0.0,0.0,0.0,0.13478907432009785,0.1
4.0,2.4959246259423598,-0.3019956894290553,0.508,0.0,0.508,0.0,0.0,0.0,0.2060043105709447,0.1
4.5,2.3449267812278323,-0.24637552808731444,0.516,0.0,0.516,0.0,0.0,0.0,0.26962447191268557,0.1
5.0,2.221739017184175,-0.04266282122394339,0.462,0.0,0.462,0.0,0.0,0.0,0.41933717877605664,0.1
5.5,2.2004076065722034,-0.0008152131444063568,0.49,0.0,0.49,0.0,0.0,0.0,0.48918478685559363,0.1
6.0,2.2,-0.4873397435897427,0.5379999999999999,0.0,0.5379999999999999,0.046153846153846156,0.0,0.046153846153846156,0.004506410256411075,0.2
6.5,1.9563301282051289,-0.9166666666666663,1.02,0.0,1.02,0.09999999999999999,0.0,0.09999999999999999,0.0033333333333337434,0.2
7.0,1.4979967948717956,-0.3044598733344758,0.498,0.0,0.498,0.19230769230769232,0.0,0.19230769230769232,0.0012324343578319352,0.2
7.5,1.3457668582045577,-0.1626721329513464,0.458,0.0,0.458,0.29230769230769227,0.0,0.29230769230769227,0.003020174740961362,0.2
8.0,1.2644307917288844,0.25574121116436993,0.3720000000000001,0.0,0.3720000000000001,0.6230769230769231,0.0,0.6230769230769231,0.004664288087446955,0.2
8.5,1.3923013973110694,0.6395933761319463,0.35600000000000004,0.0,0.35600000000000004,1.0076923076923077,0.012098931560361237,0.9955933761319464,0.0,0.2
9.0,1.7120980853770424,1.0043269230769227,0.334,0.0,0.334,1.346153846153846,0.007826923076923231,1.3383269230769228,0.0,0.2
9.5,2.2142615469155036,1.4105155397904454,0.354,0.0,0.354,1.776923076923077,0.012407537132631763,1.7645155397904453,0.0,0.2
10.0,2.9195193168107263,1.7495192307692315,0.41,0.0,0.41,2.161538461538462,0.0020192307692303846,2.1595192307692317,0.0,0.2
10.5,3.794278932195342,1.5927884615384613,0.422,0.0,0.422,2.023076923076923,0.008288461538461744,2.014788461538461,0.0,0.2
11.0,4.590673162964572,1.4326923076923077,0.768,0.0,0.768,2.2153846153846155,0.014692307692307782,2.2006923076923077,0.0,0.2
11.5,5.3070193168107265,1.3915064102564103,0.946,0.0,0.946,2.353846153846154,0.01633974358974366,2.3375064102564105,0.0,0.2
12.0,6.002772521938931,1.6355769230769228,0.904,0.0,0.904,2.546153846153846,0.006576923076923258,2.5395769230769227,0.0,0.2
12.5,6.820560983477392,1.9887408845284846,0.8859999999999999,0.0,0.8859999999999999,3.03076923076923,0.1560283462407459,2.8747408845284843,0.0,0.2
13.0,7.8149314257416345,0.3701371485167287,0.884,0.0,0.884,2.353846153846154,1.0997090053294254,1.2541371485167285,0.0,0.2
13.5,7.999999999999999,2.8421709430403906e-15,0.83,0.0,0.83,2.3076923076923075,1.4776923076923045,0.830000000000003,0.0,0.2
14.0,8.0,0.0,0.968,0.0,0.968,2.069230769230769,1.101230769230769,0.968,0.0,0.2
14.5,8.0,0.0,0.884,0.0,0.884,1.1076923076923078,0.22369230769230775,0.884,0.0,0.2
15.0,8.0,0.0,0.6920000000000001,0.0,0.6920000000000001,0.8692307692307693,0.1772307692307692,0.6920000000000001,0.0,0.2
15.5,8.0,-0.029967948717948723,0.7979999999999999,0.0,0.7979999999999999,0.7692307692307693,0.0011987179487180644,0.7680320512820512,0.0,0.2
16.0,7.985016025641025,-0.19871794871794898,0.96,0.0,0.96,0.7692307692307693,0.007948717948718292,0.761282051282051,0.0,0.2
16.5,7.885657051282051,0.013834763827251288,0.846,0.0,0.846,0.8692307692307693,0.009396005403517989,0.8598347638272512,0.0,0.2
17.0,7.892574433195676,0.20593343431303113,1.006,0.0,1.006,1.4461538461538461,0.234220411840815,1.211933434313031,0.0,0.2
17.5,7.995541150352192,-0.22788461538461527,1.088,0.0,1.088,0.8692307692307693,0.009115384615384442,0.8601153846153848,0.0,0.2
18.0,7.881598842659884,-1.126602564102565,1.4680000000000002,0.0,1.4680000000000002,0.3384615384615385,0.0,0.3384615384615385,0.0029358974358968393,0.2
18.5,7.318297560608602,-1.2019230769230775,1.348,0.0,1.348,0.14615384615384613,7.692307692352962e-05,0.1460769230769226,0.0,0.2
19.0,6.717336022147062,-1.1769230769230783,1.224,0.0,1.224,0.046153846153846156,0.0,0.046153846153846156,0.0009230769230754721,0.2
19.5,6.128874483685523,-1.1645833333333335,1.166,0.0,1.166,0.0,0.0,0.0,0.0014166666666663996,0.2
20.0,5.546582817018857,-1.2250000000000003,1.224,0.0,1.224,0.0,0.001000000000000334,-0.001000000000000334,0.0,0.2
20.5,4.934082817018857,-1.1145833333333337,1.118,0.0,1.118,0.0,0.0,0.0,0.0034166666666664014,0.2
21.0,4.37679115035219,-1.3104166666666663,1.306,0.0,1.306,0.0,0.004416666666666291,-0.004416666666666291,0.0,0.2
21.5,3.7215828170188567,-1.2583333333333335,1.256,0.0,1.256,0.0,0.0023333333333335204,-0.0023333333333335204,0.0,0.2
22.0,3.09241615035219,-1.0708333333333326,1.0759999999999998,0.0,1.0759999999999998,0.0,0.0,0.0,0.005166666666667208,0.2
