t,E_sto,P_sto,P_load_sp,P_shed,P_load,P_sun,P_curt,P_pv,P_grid,c_grid
0.0,4.0,-0.5166666666666662,0.52,0.0,0.52,0.0,0.0,0.0,0.0033333333333338544,0.1
0.5,3.741666666666667,-0.5249999999999995,0.528,0.0,0.528,0.0,0.0,0.0,0.0030000000000005578,0.1
1.0,3.4791666666666674,-0.49166666666666625,0.496,0.0,0.496,0.0,0.0,0.0,0.004333333333333744,0.1
1.5,3.2333333333333343,-0.520833333333333,0.524,0.0,0.524,0.0,0.0,0.0,0.003166666666666984,0.1
2.0,2.9729166666666678,-0.41041666666666643,0.418,0.0,0.418,0.0,0.0,0.0,0.007583333333333553,0.1
2.5,2.7677083333333345,-0.3937499999999998,0.402,0.0,0.402,0.0,0.0,0.0,0.008250000000000202,0.1
3.0,2.5708333333333346,-0.42708333333333304,0.434,0.0,0.434,0.0,0.0,0.0,0.00691666666666696,0.1
3.5,2.357291666666668,-0.40416666666666634,0.412,0.0,0.412,0.0,0.0,0.0,0.007833333333333636,0.1
4.0,2.155208333333335,-0.5041666666666664,0.508,0.0,0.508,0.0,0.0,0.0,0.0038333333333335773,0.1
4.5,1.903125000000002,-0.5124999999999993,0.516,0.0,0.516,0.0,0.0,0.0,0.0035000000000007248,0.1
5.0,1.6468750000000023,-0.45625000000000027,0.462,0.0,0.462,0.0,0.0,0.0,0.005749999999999755,0.1
5.5,1.4187500000000022,-0.3947835635729622,0.49,0.0,0.49,0.0,0.0,0.0,0.09521643642703781,0.1
6.0,1.221358218213521,-0.4883997071607765,0.5379999999999999,0.0,0.5379999999999999,0.046153846153846156,0.0,0.046153846153846156,0.003446446685377247,0.2
6.5,0.9771583646331328,-0.9157149318597136,1.02,0.0,1.02,0.09999999999999999,0.0,0.09999999999999999,0.004285068140286397,0.2
7.0,0.5193008987032759,-0.3047435897435897,0.498,0.0,0.498,0.19230769230769232,0.0,0.19230769230769232,0.0009487179487179809,0.2
7.5,0.36692910383148103,-0.17102210638428667,0.458,0.0,0.458,0.29230769230769227,0.005329798691978915,0.28697789361571335,0.0,0.2
8.0,0.28141805063933767,0.24999295194669038,0.3720000000000001,0.0,0.3720000000000001,0.6230769230769231,0.0010839711302325916,0.6219929519466905,0.0,0.2
8.5,0.40641452661268285,0.6538461538461535,0.35600000000000004,0.0,0.35600000000000004,1.0076923076923077,0.0,1.0076923076923077,0.002153846153845951,0.2
9.0,0.7333376035357596,1.0043269230769223,0.334,0.0,0.334,1.346153846153846,0.007826923076923675,1.3383269230769224,0.0,0.2
9.5,1.2355010650742209,1.4084249652173875,0.354,0.0,0.354,1.776923076923077,0.014498111705689709,1.7624249652173873,0.0,0.2
10.0,1.9397135476829146,1.7495192307692315,0.41,0.0,0.41,2.161538461538462,0.0020192307692303846,2.1595192307692317,0.0,0.2
10.5,2.8144731630675306,1.5927884615384613,0.422,0.0,0.422,2.023076923076923,0.008288461538461744,2.014788461538461,0.0,0.2
11.0,3.6108673938367613,1.4326923076923077,0.768,0.0,0.768,2.2153846153846155,0.014692307692307782,2.2006923076923077,0.0,0.2
11.5,4.327213547682915,1.3915064102564103,0.946,0.0,0.946,2.353846153846154,0.01633974358974366,2.3375064102564105,0.0,0.2
12.0,5.02296675281112,1.6355769230769228,0.904,0.0,0.904,2.546153846153846,0.006576923076923258,2.5395769230769227,0.0,0.2
