t,E_sto,P_sto,P_load_sp,P_shed,P_load,P_sun,P_curt,P_pv,P_grid,c_grid
0.0,4.0,-0.4416666666666664,0.52,0.0,0.52,0.0,0.0,0.0,0.07833333333333364,0.1
0.5,3.779166666666667,-0.4163541666666666,0.528,0.0,0.528,0.0,0.0,0.0,0.11164583333333344,0.1
1.0,3.5709895833333336,-0.3937144097222221,0.496,0.0,0.496,0.0,0.0,0.0,0.1022855902777779,0.1
1.5,3.3741323784722224,-0.39267084056712964,0.524,0.0,0.524,0.0,0.0,0.0,0.13132915943287038,0.1
2.0,3.1777969581886576,-0.36306514576099536,0.418,0.0,0.418,0.0,0.0,0.0,0.05493485423900463,0.1
2.5,2.99626438530816,-0.340328673960368,0.402,0.0,0.402,0.0,0.0,0.0,0.061671326039632046,0.1
3.0,2.826100048327976,-0.31562085145632424,0.434,0.0,0.434,0.0,0.0,0.0,0.11837914854367576,0.1
3.5,2.668289622599814,-0.2893476807915504,0.412,0.0,0.412,0.0,0.0,0.0,0.1226523192084496,0.1
4.0,2.523615782204039,-0.3280715282421366,0.508,0.0,0.508,0.0,0.0,0.0,0.17992847175786342,0.1
4.5,2.3595800180829705,-0.23737527689841842,0.516,0.0,0.516,0.0,0.0,0.0,0.2786247231015816,0.1
5.0,2.2408923796337614,-0.08025129503125682,0.462,0.0,0.462,0.0,0.0,0.0,0.3817487049687432,0.1
5.5,2.200766732118133,-0.001533464236266013,0.49,0.0,0.49,0.0,0.0,0.0,0.488466535763734,0.1
6.0,2.2,-0.4873397435897427,0.5379999999999999,0.0,0.5379999999999999,0.046153846153846156,0.0,0.046153846153846156,0.004506410256411075,0.2
6.5,1.9563301282051289,-0.9166666666666663,1.02,0.0,1.02,0.09999999999999999,0.0,0.09999999999999999,0.0033333333333337434,0.2
7.0,1.4979967948717956,-0.3044598733344758,0.498,0.0,0.498,0.19230769230769232,0.0,0.19230769230769232,0.0012324343578319352,0.2
7.5,1.3457668582045577,-0.1626721329513464,0.458,0.0,0.458,0.29230769230769227,0.0,0.29230769230769227,0.003020174740961362,0.2
8.0,1.2644307917288844,0.24035932022591622,0.3720000000000001,0.0,0.3720000000000001,0.6230769230769231,0.010717602851006758,0.6123593202259163,0.0,0.2
8.5,1.3846104518418425,0.6401634049394213,0.35600000000000004,0.0,0.35600000000000004,1.0076923076923077,0.011528902752886316,0.9961634049394213,0.0,0.2
9.0,1.7046921543115532,1.0043269230769227,0.334,0.0,0.334,1.346153846153846,0.007826923076923231,1.3383269230769228,0.0,0.2
9.5,2.2068556158500146,1.4106472799103607,0.354,0.0,0.354,1.776923076923077,0.012275797012716527,1.7646472799103605,0.0,0.2
10.0,2.912179255805195,1.7495192307692315,0.41,0.0,0.41,2.161538461538462,0.0020192307692303846,2.1595192307692317,0.0,0.2
10.5,3.7869388711898107,1.5927884615384613,0.422,0.0,0.422,2.023076923076923,0.008288461538461744,2.014788461538461,0.0,0.2
11.0,4.583333101959042,1.4326923076923077,0.768,0.0,0.768,2.2153846153846155,0.014692307692307782,2.2006923076923077,0.0,0.2
11.5,5.299679255805196,1.3915064102564103,0.946,0.0,0.946,2.353846153846154,0.01633974358974366,2.3375064102564105,0.0,0.2
12.0,5.995432460933401,1.6355769230769228,0.904,0.0,0.904,2.546153846153846,0.006576923076923258,2.5395769230769227,0.0,0.2
12.5,6.813220922471862,2.1252676986306485,0.8859999999999999,0.0,0.8859999999999999,3.03076923076923,0.01950153213858208,3.011267698630648,0.0,0.2
13.0,7.875854771787186,0.24829045642562644,0.884,0.0,0.884,2.353846153846154,1.2215556974205275,1.1322904564256264,0.0,0.2
