A4_1,A4_2,A4_3,D4_1,D4_2,D4_3,D3_1,D3_2,D3_3,D3_4,D3_5,D3_6,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10,D2_11,D2_12,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D1_9,D1_10,D1_11,D1_12,D1_13,D1_14,D1_15,D1_16,D1_17,D1_18,D1_19,D1_20,D1_21,D1_22,D1_23,D1_24
2.524538706786444986e-01,-8.333333333333335646e-02,-1.691205373453111283e-01,-8.997391014371411422e-02,-8.447741927282889036e-19,-3.201622040119778134e-01,-1.250751254186969752e-01,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.225925490014673658e-01,-1.707531754730548523e-01,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-5.122595264191645015e-01,-2.241438680420133889e-01,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-4.829629131445341561e-01
1.592647829421170447e-01,-2.892628946506963644e-02,-1.303384934770474290e-01,3.599761839520888851e-02,-1.457832346706592654e-02,-1.754256458742526059e-01,1.325825214724776768e-01,-3.018518207153338476e-02,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-1.671021006765744665e-01,3.537658773652742061e-01,-6.250000000000000000e-02,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-1.082531754730548385e-01,8.365163037378079425e-01,-1.294095225512603697e-01,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18
9.523234213972152362e-02,1.090243093612815184e-02,-1.061347730758496477e-01,1.270933530658681643e-01,-2.525039693413185307e-02,-8.509613160479112537e-02,3.180280110342414424e-01,-5.228226898361299640e-02,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-2.426428547836133667e-02,7.287658773652742061e-01,-1.082531754730548246e-01,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,6.249999999999998612e-02,-4.829629131445341561e-01,-2.241438680420133889e-01,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18
6.035654827145779666e-02,3.615282787026001532e-02,-9.650937614171779810e-02,1.833132938682637270e-01,-3.201622040119778134e-02,-4.917366120359335097e-02,4.312613432665942659e-01,-6.629126073623882454e-02,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,5.920896593172055890e-03,-4.575317547305483151e-02,-1.372595264191645015e-01,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-1.156482317317871332e-18,8.365163037378079425e-01,-1.294095225512603697e-01,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18
1.766825440319411133e-02,6.530947480439187880e-02,-8.297772920758594850e-02,2.488781754730549078e-01,-3.982872040119778134e-02,1.327132664670350624e-03,5.638438647390718872e-01,-8.246745105514637075e-02,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,6.629126073623882454e-02,-5.122595264191645015e-01,-1.707531754730548523e-01,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-1.156482317317871332e-18,-4.829629131445341561e-01,-2.241438680420133889e-01,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18
4.136607469062247855e-03,7.988779827145779666e-02,-8.402440574052001676e-02,2.795672632095822507e-01,-4.373497040119778134e-02,-2.579117335329640052e-03,1.412513157376045214e-01,-9.055554621460015774e-02,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,1.400899175262583334e-02,-1.082531754730548385e-01,3.537658773652742061e-01,-6.250000000000000000e-02,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,8.365163037378079425e-01,-1.294095225512603697e-01,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18
-1.720753946506960175e-02,9.837237173852374228e-02,-8.116483227345408502e-02,3.196012917485052673e-01,-4.868789693413185654e-02,8.092956131736288652e-03,-1.325825214724776491e-01,-1.008108399403356559e-01,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-8.088095159453773109e-03,6.249999999999998612e-02,7.287658773652742061e-01,-1.082531754730548246e-01,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-4.829629131445341561e-01,-2.241438680420133889e-01,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18
-4.636418639920145135e-02,1.207631952055896601e-01,-7.439900880638816716e-02,3.689802610898237911e-01,-5.468750000000000000e-02,3.334335306586814346e-02,-2.576576468911746520e-01,-1.132333322323528513e-01,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-2.312964634635742664e-18,-4.625929269271485328e-18,-4.575317547305483151e-02,-1.372595264191645015e-01,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,8.365163037378079425e-01,-1.294095225512603697e-01,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18
-7.342748026746515055e-02,1.421073421397215375e-01,-6.867986187225630368e-02,4.158552610898237911e-01,-6.040664693413184960e-02,5.468750000000000000e-02,-4.225925490014673658e-01,-1.250751254186969752e-01,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-2.312964634635742664e-18,-4.625929269271485328e-18,-5.122595264191645015e-01,-1.707531754730548523e-01,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-4.829629131445341561e-01,-2.241438680420133889e-01,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18
-7.133412720159701403e-02,1.488731656067874276e-01,-7.753903840519038582e-02,1.946012917485052396e-01,-6.221954386826370614e-02,2.162460306586814346e-02,-1.671021006765744665e-01,1.325825214724776768e-01,-3.018518207153338476e-02,-4.625929269271485328e-18,-4.625929269271485328e-18,-2.312964634635742664e-18,-4.625929269271485328e-18,-1.082531754730548385e-01,3.537658773652742061e-01,-6.250000000000000000e-02,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-4.625929269271485328e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,8.365163037378079425e-01,-1.294095225512603697e-01,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18,-1.156482317317871332e-18
